asset_id,batch,asset_type,planned_path,source_panel,clip,clip_title,priority,source_camera,prompt_focus,status
MSB021_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB021_03_阿磊先迈入.png,MSB021,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,planned
MSB022_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB022_03_小川看屏幕.png,MSB022,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,planned
MSB023_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB023_03_小满贴近.png,MSB023,03,游戏厅入口,B,CAM_ARCADE_01_ENTRANCE_WIDE,小满靠近小川身后，只露半个身体，看向发光屏幕,planned
MSB024_KEYFRAME,B01,keyframe,micro_storyboard_panels/B01/MSB024_03_街机排布.png,MSB024,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,两排旧街机形成狭窄通道，远处有人影但不抢主体,planned
MSB025_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB025_03_摇杆按钮前景.png,MSB025,03,游戏厅入口,B,CAM_ARCADE_01_ENTRANCE_WIDE,磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,planned
MSB026_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB026_03_烟雾和顶灯.png,MSB026,03,游戏厅入口,C,CAM_ARCADE_01_ENTRANCE_WIDE,昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,planned
MSB027_STORYBOARD,B01,storyboard,micro_storyboard_panels/B01/MSB027_03_三兄弟深入.png,MSB027,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,planned
MSB028_END_FRAME,B01,end_frame,micro_storyboard_panels/B01/MSB028_03_街霸机远处出现.png,MSB028,03,游戏厅入口,A,CAM_ARCADE_01_ENTRANCE_WIDE,远处一台街头霸王机器的屏幕更亮，像目标点,planned
MSB029_KEYFRAME,B02,keyframe,micro_storyboard_panels/B02/MSB029_04_街霸机正面.png,MSB029,04,找到街霸,A,CAM_ARCADE_02_STREET_FIGHTER_CABINET,街头霸王街机占画面中心，屏幕和操作台磨损清楚,planned
MSB030_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB030_04_阿磊抢到操作位.png,MSB030,04,找到街霸,A,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊站到操作位，手放在摇杆旁，下巴微扬,planned
MSB031_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB031_04_小川靠旁边看.png,MSB031,04,找到街霸,A,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小川站在阿磊侧后，红领巾被屏幕光照亮，手还抓书包带,planned
MSB032_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB032_04_小满躲机器后.png,MSB032,04,找到街霸,B,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小满只露出半张脸和浅色衬衫，躲在小川身后看屏幕,planned
MSB033_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB033_04_按钮手部.png,MSB033,04,找到街霸,B,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊的儿童手指放到彩色按钮上，袖口磨毛和按钮划痕同框,planned
MSB034_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB034_04_彬子进入边缘.png,MSB034,04,找到街霸,A,CAM_ARCADE_02_STREET_FIGHTER_CABINET,彬子从机器另一侧进入画面，黄发梢和黑夹克先被看见,planned
MSB035_START_FRAME,B02,start_frame,micro_storyboard_panels/B02/MSB035_04_两侧对位.png,MSB035,04,找到街霸,A,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊和彬子分别站在机器两侧，屏幕在中间，身高差和气势差清楚,planned
MSB036_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB036_04_小川反应.png,MSB036,04,找到街霸,B,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小川看见彬子，笑意收住，眼睛从屏幕移到彬子脸上,planned
MSB037_END_FRAME,B02,end_frame,micro_storyboard_panels/B02/MSB037_04_硬币入槽.png,MSB037,04,找到街霸,B,CAM_ARCADE_02_STREET_FIGHTER_CABINET,硬币投入街机槽，金属声和 CRT 光形成对战开始点,planned
MSB038_START_FRAME,B02,start_frame,micro_storyboard_panels/B02/MSB038_05_对战开局肩背.png,MSB038,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊左前景肩背、彬子右侧，街霸屏幕夹在中间,planned
MSB039_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB039_05_阿磊快速按键.png,MSB039,05,哥哥打赢老大,B,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊手指在彩色按钮上快速动作，袖口磨毛明显,planned
MSB040_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB040_05_彬子挑衅侧脸.png,MSB040,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子侧脸被 CRT 光照亮，嘴角歪，眼睛从下往上瞪,planned
MSB041_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB041_05_小川看哥哥.png,MSB041,05,哥哥打赢老大,B,CAM_ARCADE_03_DUEL_OVER_SHOULDER,小川不看屏幕，先看阿磊脸色，试图判断能不能高兴,planned
MSB042_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB042_05_屏幕战斗闪白.png,MSB042,05,哥哥打赢老大,B,CAM_ARCADE_03_DUEL_OVER_SHOULDER,街霸屏幕出现强烈攻击闪光，不需要真实游戏版权细节,planned
MSB043_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB043_05_阿磊嘴角压不住.png,MSB043,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊嘴角轻微上扬但不敢太明显，肩膀一抖,planned
MSB044_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB044_05_彬子表情变僵.png,MSB044,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子笑意消失，眨眼变少，鼻翼绷紧,planned
MSB045_KEYFRAME,B02,keyframe,micro_storyboard_panels/B02/MSB045_05_胜利画面亮起.png,MSB045,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CRT 胜利画面红光爆亮，屏幕边缘反射在机身上,planned
MSB046_KEYFRAME,B02,keyframe,micro_storyboard_panels/B02/MSB046_05_红光照彬子.png,MSB046,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,胜利红光照到彬子脸，黄发梢和嘴角小痣清楚,planned
MSB047_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB047_05_阿磊装不在乎.png,MSB047,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊想笑又忍住，手从按钮上离开，下巴更高,planned
MSB048_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB048_05_小川半笑.png,MSB048,05,哥哥打赢老大,B,CAM_ARCADE_03_DUEL_OVER_SHOULDER,小川看到哥哥赢，嘴角刚要笑，眼睛还看彬子反应,planned
MSB049_END_FRAME,B02,end_frame,micro_storyboard_panels/B02/MSB049_05_彬子视线钉住阿磊.png,MSB049,05,哥哥打赢老大,A,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子越过街机盯住阿磊，背景三同伙模糊出现,planned
MSB050_KEYFRAME,B02,keyframe,micro_storyboard_panels/B02/MSB050_06_彬子脸色沉下.png,MSB050,06,老大记仇,A,CAM_ARCADE_04_BOSS_LOSES_REACTION,彬子脸在红光里僵住，嘴角歪笑消失，下颌咬紧,planned
MSB051_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB051_06_高杆入背景.png,MSB051,06,老大记仇,A,CAM_ARCADE_04_BOSS_LOSES_REACTION,高杆从背景一侧靠近，灰白夹克和长手臂先形成剪影,planned
MSB052_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB052_06_大海堵住后方.png,MSB052,06,老大记仇,B,CAM_ARCADE_04_BOSS_LOSES_REACTION,大海宽身体进入背景，褪色 T 恤和宽站姿把空间堵住,planned
MSB053_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB053_06_小齐起哄收声.png,MSB053,06,老大记仇,B,CAM_ARCADE_04_BOSS_LOSES_REACTION,小齐本来想笑，看到彬子脸色后笑收住，手抠袖口,planned
MSB054_KEYFRAME,B02,keyframe,micro_storyboard_panels/B02/MSB054_06_四人轮廓成组.png,MSB054,06,老大记仇,A,CAM_ARCADE_04_BOSS_LOSES_REACTION,彬子矮在前，高杆高瘦、大海宽、小齐飘在边缘，轮廓差异清楚,planned
MSB055_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB055_06_阿磊没察觉后果.png,MSB055,06,老大记仇,A,CAM_ARCADE_04_BOSS_LOSES_REACTION,阿磊带着弟弟准备离开，还在压住笑意,planned
MSB056_STORYBOARD,B02,storyboard,micro_storyboard_panels/B02/MSB056_06_彬子看背影.png,MSB056,06,老大记仇,A,CAM_ARCADE_04_BOSS_LOSES_REACTION,彬子盯着阿磊背影，手把腰包往上一拽,planned
MSB057_END_FRAME,B02,end_frame,micro_storyboard_panels/B02/MSB057_06_街机声变闷.png,MSB057,06,老大记仇,B,CAM_ARCADE_04_BOSS_LOSES_REACTION,游戏厅仍热闹，但四人组所在区域像被声音抽空,planned
MSB058_START_FRAME,B03,start_frame,micro_storyboard_panels/B03/MSB058_07_门内到门外.png,MSB058,07,志得意满离开,A,CAM_ARCADE_EXIT_01_LEAVING,三兄弟从门内 CRT 彩光走进门外黄路灯，色温切换清楚,planned
MSB059_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB059_07_阿磊比划胜利.png,MSB059,07,志得意满离开,A,CAM_ARCADE_EXIT_01_LEAVING,阿磊边走边用手模仿刚才的操作，肩膀抖一下,planned
MSB060_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB060_07_小川学了一下.png,MSB060,07,志得意满离开,B,CAM_ARCADE_EXIT_01_LEAVING,小川偷偷学阿磊按键动作，马上又攥回书包带,planned
MSB061_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB061_07_小满跟着笑.png,MSB061,07,志得意满离开,B,CAM_ARCADE_EXIT_01_LEAVING,小满看小川笑才跟着笑，衣角还攥在手里,planned
MSB062_KEYFRAME,B03,keyframe,micro_storyboard_panels/B03/MSB062_07_门口空间回看.png,MSB062,07,志得意满离开,A,CAM_ARCADE_EXIT_01_LEAVING,游戏机房门口缩在老楼角落里，三兄弟走向小路方向,planned
MSB063_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB063_07_CRT_声远去.png,MSB063,07,志得意满离开,C,CAM_ARCADE_EXIT_01_LEAVING,门口旧招牌和漏出的彩光逐渐留在后景，街机声远去,planned
MSB064_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB064_07_阿磊走在最前.png,MSB064,07,志得意满离开,A,CAM_ARCADE_EXIT_01_LEAVING,阿磊保持前方，小川半步后，小满最后，队形回到初始但更放松,planned
MSB065_END_FRAME,B03,end_frame,micro_storyboard_panels/B03/MSB065_07_暗巷入口.png,MSB065,07,志得意满离开,A,CAM_ARCADE_EXIT_01_LEAVING,三兄弟走进老小区背后的暗巷入口，黄路灯把影子拉长,planned
MSB066_KEYFRAME,B03,keyframe,micro_storyboard_panels/B03/MSB066_08_小路全貌.png,MSB066,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,狭窄小路两侧围墙和杂草，远处旧路灯，路面湿而空,planned
MSB067_START_FRAME,B03,start_frame,micro_storyboard_panels/B03/MSB067_08_三兄弟进入小路.png,MSB067,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,三兄弟从画面左侧进入，小路深处留出危险空间,planned
MSB068_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB068_08_阿磊继续讲赢法.png,MSB068,08,偏僻小路,B,CAM_ALLEY_01_WALK_HOME,阿磊边走边比划摇杆，小川抬头认真听,planned
MSB069_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB069_08_小满跟不上.png,MSB069,08,偏僻小路,C,CAM_ALLEY_01_WALK_HOME,小满落后半步，脚尖内扣，努力跟上哥哥节奏,planned
MSB070_PROP,B03,prop,micro_storyboard_panels/B03/MSB070_08_路边碎石第一次出现.png,MSB070,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,路边碎砖石和一块普通石块在画面角落出现，不被强调成武器,planned
MSB071_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB071_08_小川经过石块.png,MSB071,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,小川从石块旁走过，完全没注意，书包甩过前景,planned
MSB072_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB072_08_远处阴影.png,MSB072,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,小路前方灯下出现几个人影，三兄弟还未完全意识到,planned
MSB073_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB073_08_阿磊脚步变慢.png,MSB073,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,阿磊的比划停住，身体略挡到小川前面,planned
MSB074_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB074_08_小川看哥哥表情.png,MSB074,08,偏僻小路,B,CAM_ALLEY_01_WALK_HOME,小川不看前方，先看阿磊脸色，笑收住,planned
MSB075_END_FRAME,B03,end_frame,micro_storyboard_panels/B03/MSB075_08_三人停在小路中段.png,MSB075,08,偏僻小路,A,CAM_ALLEY_01_WALK_HOME,三兄弟停住，前方阴影更清楚，后方路变暗,planned
MSB076_KEYFRAME,B03,keyframe,micro_storyboard_panels/B03/MSB076_09_混混四人亮相.png,MSB076,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,彬子带三人从小路前方堵住去路，四人剪影差异明显,planned
MSB077_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB077_09_彬子向前半步.png,MSB077,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,彬子短小身形向前压，下巴顶出，手拽腰包,planned
MSB078_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB078_09_高杆封侧路.png,MSB078,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,高杆站在路边，长手臂横住墙边空隙,planned
MSB079_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB079_09_大海堵中线.png,MSB079,09,四人堵路,B,CAM_ALLEY_02_BLOCKED,大海宽脚站在路中，褪色 T 恤汗湿领口，身体像墙,planned
MSB080_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB080_09_小齐起哄.png,MSB080,09,四人堵路,B,CAM_ALLEY_02_BLOCKED,小齐在边缘前探，嘴角快笑，手还抠袖口,planned
MSB081_KEYFRAME,B03,keyframe,micro_storyboard_panels/B03/MSB081_09_阿磊挡弟弟.png,MSB081,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,阿磊迈到小川和小满前面，三兄弟左侧队形收紧,planned
MSB082_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB082_09_小川被遮住半个.png,MSB082,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,小川站在阿磊背后半个身位，眼睛越过哥哥看彬子,planned
MSB083_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB083_09_小满靠墙.png,MSB083,09,四人堵路,B,CAM_ALLEY_02_BLOCKED,小满退到墙边，抓衣角，脚尖内扣，不知道该跑还是站,planned
MSB084_STORYBOARD,B03,storyboard,micro_storyboard_panels/B03/MSB084_09_双方空间关系.png,MSB084,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,小路像被两组人堵成死巷，三兄弟后方也变暗,planned
MSB085_END_FRAME,B03,end_frame,micro_storyboard_panels/B03/MSB085_09_彬子盯阿磊.png,MSB085,09,四人堵路,A,CAM_ALLEY_02_BLOCKED,彬子越过小路盯住阿磊，旧街机红光记忆从脸上隐约回响,planned
MSB086_START_FRAME,B04,start_frame,micro_storyboard_panels/B04/MSB086_10_四人收拢.png,MSB086,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,混混四人从半圆收拢，阿磊被挤到画面中心,planned
MSB087_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB087_10_阿磊还嘴.png,MSB087,10,围殴哥哥,B,CAM_ALLEY_03_BROTHER_BEATEN,阿磊下巴抬着说话，手却从口袋里抽出来挡在身前,planned
MSB088_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB088_10_高杆封退路.png,MSB088,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,高杆长手臂挡住阿磊侧后，灰白袖子像横杠,planned
MSB089_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB089_10_大海肩膀顶近.png,MSB089,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,大海用肩膀和身体把空间压小，不做漂亮拳脚,planned
MSB090_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB090_10_小齐起哄边退.png,MSB090,10,围殴哥哥,B,CAM_ALLEY_03_BROTHER_BEATEN,小齐在边上起哄，身体前探但脚随时想退,planned
MSB091_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB091_10_彬子靠近阿磊.png,MSB091,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,彬子站到阿磊面前，短脖子前压，嘴角歪,planned
MSB092_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB092_10_第一次推搡.png,MSB092,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,阿磊被推得肩膀一歪，仍想站稳,planned
MSB093_KEYFRAME,B04,keyframe,micro_storyboard_panels/B04/MSB093_10_小川侧面僵住.png,MSB093,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,小川站在侧面，双手攥书包带，眼睛在哥哥和彬子之间跳,planned
MSB094_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB094_10_小满完全不动.png,MSB094,10,围殴哥哥,B,CAM_ALLEY_03_BROTHER_BEATEN,小满靠墙，嘴角下压，抓衣角，不哭也不喊,planned
MSB095_KEYFRAME,B04,keyframe,micro_storyboard_panels/B04/MSB095_10_哥哥失衡低位.png,MSB095,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,阿磊被推到更低位置，混混身体变成画面边框,planned
MSB096_END_FRAME,B04,end_frame,micro_storyboard_panels/B04/MSB096_10_彬子准备下狠手.png,MSB096,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,彬子表情变空，手臂或身体准备进一步动作，但不展示暴力细节,planned
MSB097_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB097_10_小川视线下坠前.png,MSB097,10,围殴哥哥,A,CAM_ALLEY_03_BROTHER_BEATEN,小川看到彬子的准备动作，脸僵住，眼神即将落向地面,planned
MSB098_PROP,B04,prop,micro_storyboard_panels/B04/MSB098_11_石块再出现.png,MSB098,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,路边普通石块在湿地边缘，旁边碎砖和杂草说明它属于环境,planned
MSB099_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB099_11_小川眼神落下.png,MSB099,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,小川眼神从哥哥和彬子之间突然落到地面石块,planned
MSB100_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB100_11_手松开书包带.png,MSB100,11,石块失手,B,CAM_ALLEY_04_STONE_HIT,小川一只手从书包带上松开，指节发白,planned
MSB101_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB101_11_弯身动作开始.png,MSB101,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,小川身体歪斜向下，不是漂亮下蹲，书包失去平衡,planned
MSB102_KEYFRAME,B04,keyframe,micro_storyboard_panels/B04/MSB102_11_手碰到石块.png,MSB102,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,小川的手碰到湿石块，泥水和小手比例清楚,planned
MSB103_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB103_11_彬子动作逼近.png,MSB103,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,彬子准备动作继续靠近阿磊，画面边缘小川弯身,planned
MSB104_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB104_11_小川起身甩动.png,MSB104,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,小川抓着石块猛地起身，身体歪，动作短促混乱,planned
MSB105_END_FRAME,B04,end_frame,micro_storyboard_panels/B04/MSB105_11_遮挡冲击瞬间.png,MSB105,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,前景人影或路灯柱遮住冲击瞬间，只看到众人身体突然停住,planned
MSB106_KEYFRAME,B04,keyframe,micro_storyboard_panels/B04/MSB106_11_彬子不可置信.png,MSB106,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,彬子不做血腥表现，只拍脸上不可置信和失去凶相的空白,planned
MSB107_KEYFRAME,B04,keyframe,micro_storyboard_panels/B04/MSB107_11_小川失声.png,MSB107,11,石块失手,A,CAM_ALLEY_04_STONE_HIT,小川手还悬着，嘴张开但发不出声，浅绿书包歪到一边,planned
MSB108_START_FRAME,B04,start_frame,micro_storyboard_panels/B04/MSB108_12_冻结后的第一步.png,MSB108,12,主角逃跑,A,CAM_ALLEY_05_ESCAPE_VECTOR,小川从冻结中突然歪出去，脚步不是标准起跑,planned
MSB109_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB109_12_书包猛甩.png,MSB109,12,主角逃跑,A,CAM_ALLEY_05_ESCAPE_VECTOR,浅绿色书包斜甩，红领巾被带起，证明是同一个主角,planned
MSB110_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB110_12_哥哥留后方.png,MSB110,12,主角逃跑,A,CAM_ALLEY_05_ESCAPE_VECTOR,阿磊和小满留在混乱后方，阿磊半起身想喊，小满仍僵,planned
MSB111_STORYBOARD,B04,storyboard,micro_storyboard_panels/B04/MSB111_12_混混反应慢半拍.png,MSB111,12,主角逃跑,B,CAM_ALLEY_05_ESCAPE_VECTOR,高杆和大海先愣住，小齐收声，彬子状态不清,planned
