asset_id,pure_path,annotated_path,aspect_ratio,shot_size,subject_position,subject_action,motion_direction,camera_movement,foreground_midground_background,lighting,start_frame,end_frame,needs_middle_frame,generation_risk,fix_plan,hidden_cut_transition,annotation_density
MSB011,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,16:9,全景,小满 / 小满更小，浅色大衬衫，抓衣角，脚尖内扣地跟上,小满贴最后 / 贴着小川的路线走,贴着小川的路线走,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB012,visual_assets/pure/micro_storyboard/B01/MSB012_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB012_v001_annotated.png,16:9,中远景,三兄弟 / 三兄弟同框，阿磊高一头，小川中间，小满明显更小,三人身高差 / 三角形站位建立,三角形站位建立,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB013,visual_assets/pure/micro_storyboard/B01/MSB013_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB013_v001_annotated.png,16:9,中景,阿磊/小川 / 阿磊半回头催弟弟，手背蹭鼻尖，小川抬眼看他,阿磊回头催 / 轻微回头，不改变路线,轻微回头，不改变路线,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB014,visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,16:9,中景,小川 / CRT 光照到小川眼睛和红领巾，小川嘴微张,门口吸引小川 / 手仍攥书包带,手仍攥书包带,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB015,visual_assets/pure/micro_storyboard/B01/MSB015_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB015_v001_annotated.png,16:9,中景,小满 / 小满在后面眨眼，抓衣角更紧，身体往小川背后缩,小满被光吓到 / 脚尖内扣停一下,脚尖内扣停一下,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB016,visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,16:9,中远景,三兄弟 / 三兄弟停在门口，门缝光打到鞋尖，阿磊站最前,三人到门前 / 队形稳定,队形稳定,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,yes,"yes, high-risk action or transition needs neighboring panels",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB017,visual_assets/pure/micro_storyboard/B01/MSB017_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB017_v001_annotated.png,16:9,近景,阿磊/道具 / 阿磊的手伸向脏门帘或门边，袖口磨毛清楚,阿磊伸手 / 手从口袋抽出,手从口袋抽出,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,no,no,"no, adjacent panels are enough",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB018,visual_assets/pure/micro_storyboard/B01/MSB018_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB018_v001_annotated.png,16:9,中景,三兄弟 / 门帘在三兄弟面前轻晃，三张不同年龄的脸被 CRT 光分层照亮,门帘前停顿 / 静止一拍,静止一拍,child-height tracking,前景湿地/破自行车，中景门口，背景发黄居民楼,暗黄小区环境光 + 门内 CRT 蓝绿微光,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",三兄弟同款脸、站位像学生队列,回到人物 v2，强调阿磊/小川/小满姿态差异,门帘/门框遮挡切入游戏厅,"compact, do not cover faces/hands/key props"
MSB019,visual_assets/pure/micro_storyboard/B01/MSB019_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB019_v001_annotated.png,16:9,近景,环境/道具 / 脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,门帘擦镜 / 门帘晃动作为隐藏剪辑,门帘晃动作为隐藏剪辑,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB020,visual_assets/pure/micro_storyboard/B01/MSB020_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB020_v001_annotated.png,16:9,全景,三兄弟 / 三兄弟站在入口下方，室内低天花和两侧街机压住他们,三兄弟入口剪影 / 站位保持阿磊前、小川中、小满后,站位保持阿磊前、小川中、小满后,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,yes,no,"yes, high-risk action or transition needs neighboring panels",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB021,visual_assets/pure/micro_storyboard/B01/MSB021_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB021_v001_annotated.png,16:9,中景,阿磊 / 阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,阿磊先迈入 / 向前一步后停,向前一步后停,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB022,visual_assets/pure/micro_storyboard/B01/MSB022_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB022_v001_annotated.png,16:9,中景,小川 / 小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,小川看屏幕 / 头部小幅转向街机,头部小幅转向街机,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB023,visual_assets/pure/micro_storyboard/B01/MSB023_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB023_v001_annotated.png,16:9,中景,小满 / 小满靠近小川身后，只露半个身体，看向发光屏幕,小满贴近 / 抓衣角，跟半步,抓衣角，跟半步,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB024,visual_assets/pure/micro_storyboard/B01/MSB024_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB024_v001_annotated.png,16:9,广角,环境 / 两排旧街机形成狭窄通道，远处有人影但不抢主体,街机排布 / slow dolly in,slow dolly in,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB025,visual_assets/pure/micro_storyboard/B01/MSB025_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB025_v001_annotated.png,16:9,特写,道具 / 磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,摇杆按钮前景 / 固定近景,固定近景,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB026,visual_assets/pure/micro_storyboard/B01/MSB026_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB026_v001_annotated.png,16:9,中远景,环境 / 昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,烟雾和顶灯 / 只允许烟雾轻动,只允许烟雾轻动,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB027,visual_assets/pure/micro_storyboard/B01/MSB027_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB027_v001_annotated.png,16:9,全景,三兄弟 / 三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,三兄弟深入 / 前进方向清楚,前进方向清楚,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB028,visual_assets/pure/micro_storyboard/B01/MSB028_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB028_v001_annotated.png,16:9,中远景,环境/道具 / 远处一台街头霸王机器的屏幕更亮，像目标点,街霸机远处出现 / 镜头停在机器方向,镜头停在机器方向,slow dolly-in,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,yes,"yes, high-risk action or transition needs neighboring panels",现代电玩城、空间过宽,强化低天花、CRT、旧街机、烟雾,CRT 光 match cut 到街霸机,"compact, do not cover faces/hands/key props"
MSB029,visual_assets/pure/micro_storyboard/B02/MSB029_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB029_v001_annotated.png,16:9,中景,街机 / 街头霸王街机占画面中心，屏幕和操作台磨损清楚,街霸机正面 / 固定构图,固定构图,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB030,visual_assets/pure/micro_storyboard/B02/MSB030_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB030_v001_annotated.png,16:9,中景,阿磊 / 阿磊站到操作位，手放在摇杆旁，下巴微扬,阿磊抢到操作位 / 身体前倾，肩膀撑开,身体前倾，肩膀撑开,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB031,visual_assets/pure/micro_storyboard/B02/MSB031_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB031_v001_annotated.png,16:9,中景,小川 / 小川站在阿磊侧后，红领巾被屏幕光照亮，手还抓书包带,小川靠旁边看 / 不碰机器，只看,不碰机器，只看,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB032,visual_assets/pure/micro_storyboard/B02/MSB032_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB032_v001_annotated.png,16:9,中景,小满 / 小满只露出半张脸和浅色衬衫，躲在小川身后看屏幕,小满躲机器后 / 贴近小川,贴近小川,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB033,visual_assets/pure/micro_storyboard/B02/MSB033_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB033_v001_annotated.png,16:9,特写,阿磊/道具 / 阿磊的儿童手指放到彩色按钮上，袖口磨毛和按钮划痕同框,按钮手部 / 手开始操作前的准备,手开始操作前的准备,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB034,visual_assets/pure/micro_storyboard/B02/MSB034_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB034_v001_annotated.png,16:9,中景,彬子 / 彬子从机器另一侧进入画面，黄发梢和黑夹克先被看见,彬子进入边缘 / 下巴前顶，靠近机器,下巴前顶，靠近机器,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB035,visual_assets/pure/micro_storyboard/B02/MSB035_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB035_v001_annotated.png,16:9,中景,阿磊/彬子 / 阿磊和彬子分别站在机器两侧，屏幕在中间，身高差和气势差清楚,两侧对位 / 对战站位锁定,对战站位锁定,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,yes,no,"yes, high-risk action or transition needs neighboring panels",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB036,visual_assets/pure/micro_storyboard/B02/MSB036_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB036_v001_annotated.png,16:9,近景,小川 / 小川看见彬子，笑意收住，眼睛从屏幕移到彬子脸上,小川反应 / 头部小幅转移,头部小幅转移,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB037,visual_assets/pure/micro_storyboard/B02/MSB037_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB037_v001_annotated.png,16:9,特写,道具 / 硬币投入街机槽，金属声和 CRT 光形成对战开始点,硬币入槽 / 手离开硬币槽,手离开硬币槽,fixed / slight handheld,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,yes,"yes, high-risk action or transition needs neighboring panels",街霸机不明确、人物混乱,使用街霸机和磨损按钮作为中心锚点,硬币入槽接对战,"compact, do not cover faces/hands/key props"
MSB038,visual_assets/pure/micro_storyboard/B02/MSB038_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB038_v001_annotated.png,16:9,过肩中景,阿磊/彬子 / 阿磊左前景肩背、彬子右侧，街霸屏幕夹在中间,对战开局肩背 / 镜头固定在屏幕和肩背之间,镜头固定在屏幕和肩背之间,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,yes,no,"yes, high-risk action or transition needs neighboring panels",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB039,visual_assets/pure/micro_storyboard/B02/MSB039_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB039_v001_annotated.png,16:9,特写,阿磊/道具 / 阿磊手指在彩色按钮上快速动作，袖口磨毛明显,阿磊快速按键 / 只拍手和按钮,只拍手和按钮,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB040,visual_assets/pure/micro_storyboard/B02/MSB040_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB040_v001_annotated.png,16:9,近景,彬子 / 彬子侧脸被 CRT 光照亮，嘴角歪，眼睛从下往上瞪,彬子挑衅侧脸 / 下巴前顶,下巴前顶,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB041,visual_assets/pure/micro_storyboard/B02/MSB041_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB041_v001_annotated.png,16:9,近景,小川 / 小川不看屏幕，先看阿磊脸色，试图判断能不能高兴,小川看哥哥 / 攥书包带更紧,攥书包带更紧,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB042,visual_assets/pure/micro_storyboard/B02/MSB042_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB042_v001_annotated.png,16:9,特写,街机屏幕 / 街霸屏幕出现强烈攻击闪光，不需要真实游戏版权细节,屏幕战斗闪白 / CRT 闪烁,CRT 闪烁,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB043,visual_assets/pure/micro_storyboard/B02/MSB043_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB043_v001_annotated.png,16:9,中近景,阿磊 / 阿磊嘴角轻微上扬但不敢太明显，肩膀一抖,阿磊嘴角压不住 / 手继续操作,手继续操作,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB044,visual_assets/pure/micro_storyboard/B02/MSB044_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB044_v001_annotated.png,16:9,中近景,彬子 / 彬子笑意消失，眨眼变少，鼻翼绷紧,彬子表情变僵 / 身体僵住,身体僵住,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,no,no,"no, adjacent panels are enough",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB045,visual_assets/pure/micro_storyboard/B02/MSB045_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB045_v001_annotated.png,16:9,特写,街机屏幕 / CRT 胜利画面红光爆亮，屏幕边缘反射在机身上,胜利画面亮起 / 画面闪红,画面闪红,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
MSB046,visual_assets/pure/micro_storyboard/B02/MSB046_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB046_v001_annotated.png,16:9,近景,彬子 / 胜利红光照到彬子脸，黄发梢和嘴角小痣清楚,红光照彬子 / 完全停住一拍,完全停住一拍,locked over-shoulder,前景街机/门帘/按钮，中景人物，背景低天花和街机排,CRT 红蓝绿屏幕光 + 昏暗旧荧光灯,candidate,candidate,"yes, high-risk action or transition needs neighboring panels",对战变现实打斗,只拍屏幕/手/反应，禁止现实打斗,胜利红光照彬子脸,"compact, do not cover faces/hands/key props"
