asset_id,character_id,character_name,asset_type,planned_path,source_doc,purpose,status
CHR_BLY_B_FRONT,CHR_BLY_B,高杆,front_design,character_design_v2/CHR_BLY_B_tall_blocker_front_design_v001.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,planned
CHR_BLY_B_TURN,CHR_BLY_B,高杆,turnaround,character_design_v2/CHR_BLY_B_tall_blocker_turnaround_v001.png,17_character_sheet_generation_prompts_v2.md,三视图,planned
CHR_BLY_B_EXP,CHR_BLY_B,高杆,expression_grid,character_design_v2/CHR_BLY_B_tall_blocker_expression_grid_v001.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,planned
CHR_BLY_B_POSE,CHR_BLY_B,高杆,pose_sheet,character_design_v2/CHR_BLY_B_tall_blocker_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
CHR_BLY_C_FRONT,CHR_BLY_C,大海,front_design,character_design_v2/CHR_BLY_C_heavy_blocker_front_design_v001.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,planned
CHR_BLY_C_TURN,CHR_BLY_C,大海,turnaround,character_design_v2/CHR_BLY_C_heavy_blocker_turnaround_v001.png,17_character_sheet_generation_prompts_v2.md,三视图,planned
CHR_BLY_C_EXP,CHR_BLY_C,大海,expression_grid,character_design_v2/CHR_BLY_C_heavy_blocker_expression_grid_v001.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,planned
CHR_BLY_C_POSE,CHR_BLY_C,大海,pose_sheet,character_design_v2/CHR_BLY_C_heavy_blocker_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
CHR_BLY_D_FRONT,CHR_BLY_D,小齐,front_design,character_design_v2/CHR_BLY_D_errand_runner_front_design_v001.png,17_character_sheet_generation_prompts_v2.md,单人正面设定,planned
CHR_BLY_D_TURN,CHR_BLY_D,小齐,turnaround,character_design_v2/CHR_BLY_D_errand_runner_turnaround_v001.png,17_character_sheet_generation_prompts_v2.md,三视图,planned
CHR_BLY_D_EXP,CHR_BLY_D,小齐,expression_grid,character_design_v2/CHR_BLY_D_errand_runner_expression_grid_v001.png,17_character_sheet_generation_prompts_v2.md,表情九宫格,planned
CHR_BLY_D_POSE,CHR_BLY_D,小齐,pose_sheet,character_design_v2/CHR_BLY_D_errand_runner_pose_sheet_v001.png,17_character_sheet_generation_prompts_v2.md,姿态四连,planned
REL_BROTHERS,GROUP,三兄弟关系图,relationship,character_design_v2/rel_brothers_v001.png,17_character_sheet_generation_prompts_v2.md,三兄弟站位和性格关系,planned
REL_BULLIES,GROUP,混混四人关系图,relationship,character_design_v2/rel_bullies_v001.png,17_character_sheet_generation_prompts_v2.md,四个混混轮廓和功能差异,planned
REL_ALLEY_STANDOFF,GROUP,小路对峙关系图,relationship,character_design_v2/rel_alley_standoff_v001.png,17_character_sheet_generation_prompts_v2.md,七人小路堵截空间关系,planned
PIXEL_CHARACTER_CONVERSION,GROUP,8-bit色块转换图,pixel_conversion,character_design_v2/pixel_character_conversion_v001.png,17_character_sheet_generation_prompts_v2.md,七人像素化保留项,planned
