panel_id,clip,clip_title,approx_time,shot_size,camera,beat,image_prompt_focus,character_focus,expression_note,pose_motion_note,continuity_anchor,avoid,asset_type,priority
MSB021,03,游戏厅入口,00:37,中景,CAM_ARCADE_01_ENTRANCE_WIDE,阿磊先迈入,阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,阿磊,装作熟悉，其实眼睛快速扫动,向前一步后停,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,A
MSB022,03,游戏厅入口,00:38,中景,CAM_ARCADE_01_ENTRANCE_WIDE,小川看屏幕,小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,小川,好奇压过害怕,头部小幅转向街机,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,A
MSB023,03,游戏厅入口,00:40,中景,CAM_ARCADE_01_ENTRANCE_WIDE,小满贴近,小满靠近小川身后，只露半个身体，看向发光屏幕,小满,迟疑，眨眼快,抓衣角，跟半步,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,B
MSB024,03,游戏厅入口,00:42,广角,CAM_ARCADE_01_ENTRANCE_WIDE,街机排布,两排旧街机形成狭窄通道，远处有人影但不抢主体,环境,压迫、热闹但脏旧,slow dolly in,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,keyframe,A
MSB025,03,游戏厅入口,00:43,特写,CAM_ARCADE_01_ENTRANCE_WIDE,摇杆按钮前景,磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,道具,无表情，物件记忆,固定近景,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,B
MSB026,03,游戏厅入口,00:45,中远景,CAM_ARCADE_01_ENTRANCE_WIDE,烟雾和顶灯,昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,环境,不安的兴奋,只允许烟雾轻动,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,C
MSB027,03,游戏厅入口,00:46,全景,CAM_ARCADE_01_ENTRANCE_WIDE,三兄弟深入,三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,三兄弟,兴奋、跟随、被动,前进方向清楚,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,storyboard,A
MSB028,03,游戏厅入口,00:48,中远景,CAM_ARCADE_01_ENTRANCE_WIDE,街霸机远处出现,远处一台街头霸王机器的屏幕更亮，像目标点,环境/道具,无人物表情，目标明确,镜头停在机器方向,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,现代电玩城、液晶屏、抓娃娃机、明亮商业空间、额外女生,end_frame,A
MSB029,04,找到街霸,00:50,中景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,街霸机正面,街头霸王街机占画面中心，屏幕和操作台磨损清楚,街机,无人物，机器作为冲突种子,固定构图,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,keyframe,A
MSB030,04,找到街霸,00:51,中景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊抢到操作位,阿磊站到操作位，手放在摇杆旁，下巴微扬,阿磊,兴奋但故作淡定,身体前倾，肩膀撑开,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,storyboard,A
MSB031,04,找到街霸,00:53,中景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小川靠旁边看,小川站在阿磊侧后，红领巾被屏幕光照亮，手还抓书包带,小川,羡慕和紧张混合,不碰机器，只看,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,storyboard,A
MSB032,04,找到街霸,00:55,中景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小满躲机器后,小满只露出半张脸和浅色衬衫，躲在小川身后看屏幕,小满,好奇但怕人群,贴近小川,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,storyboard,B
MSB033,04,找到街霸,00:57,特写,CAM_ARCADE_02_STREET_FIGHTER_CABINET,按钮手部,阿磊的儿童手指放到彩色按钮上，袖口磨毛和按钮划痕同框,阿磊/道具,专注,手开始操作前的准备,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,storyboard,B
MSB034,04,找到街霸,00:58,中景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,彬子进入边缘,彬子从机器另一侧进入画面，黄发梢和黑夹克先被看见,彬子,挑衅假笑,下巴前顶，靠近机器,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,storyboard,A
MSB035,04,找到街霸,01:00,中景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,两侧对位,阿磊和彬子分别站在机器两侧，屏幕在中间，身高差和气势差清楚,阿磊/彬子,阿磊装稳，彬子轻蔑,对战站位锁定,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,start_frame,A
MSB036,04,找到街霸,01:02,近景,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小川反应,小川看见彬子，笑意收住，眼睛从屏幕移到彬子脸上,小川,警觉但不懂危险,头部小幅转移,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,storyboard,B
MSB037,04,找到街霸,01:04,特写,CAM_ARCADE_02_STREET_FIGHTER_CABINET,硬币入槽,硬币投入街机槽，金属声和 CRT 光形成对战开始点,道具,无人物，仪式感,手离开硬币槽,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,现代格斗游戏、哥哥和老大现实打斗、主角参与对战、多人混乱,end_frame,B
MSB038,05,哥哥打赢老大,01:06,过肩中景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,对战开局肩背,阿磊左前景肩背、彬子右侧，街霸屏幕夹在中间,阿磊/彬子,双方专注，彬子假笑,镜头固定在屏幕和肩背之间,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,start_frame,A
MSB039,05,哥哥打赢老大,01:07,特写,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊快速按键,阿磊手指在彩色按钮上快速动作，袖口磨毛明显,阿磊/道具,手部紧张兴奋,只拍手和按钮,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,B
MSB040,05,哥哥打赢老大,01:09,近景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子挑衅侧脸,彬子侧脸被 CRT 光照亮，嘴角歪，眼睛从下往上瞪,彬子,挑衅，觉得必赢,下巴前顶,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,A
MSB041,05,哥哥打赢老大,01:11,近景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,小川看哥哥,小川不看屏幕，先看阿磊脸色，试图判断能不能高兴,小川,期待但谨慎,攥书包带更紧,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,B
MSB042,05,哥哥打赢老大,01:13,特写,CAM_ARCADE_03_DUEL_OVER_SHOULDER,屏幕战斗闪白,街霸屏幕出现强烈攻击闪光，不需要真实游戏版权细节,街机屏幕,激烈但仍在游戏内,CRT 闪烁,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,B
MSB043,05,哥哥打赢老大,01:15,中近景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊嘴角压不住,阿磊嘴角轻微上扬但不敢太明显，肩膀一抖,阿磊,快赢的得意,手继续操作,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,A
MSB044,05,哥哥打赢老大,01:17,中近景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子表情变僵,彬子笑意消失，眨眼变少，鼻翼绷紧,彬子,从轻蔑转为不信,身体僵住,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,A
MSB045,05,哥哥打赢老大,01:18,特写,CAM_ARCADE_03_DUEL_OVER_SHOULDER,胜利画面亮起,CRT 胜利画面红光爆亮，屏幕边缘反射在机身上,街机屏幕,无人物，胜负确定,画面闪红,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,keyframe,A
MSB046,05,哥哥打赢老大,01:20,近景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,红光照彬子,胜利红光照到彬子脸，黄发梢和嘴角小痣清楚,彬子,受辱后僵住,完全停住一拍,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,keyframe,A
MSB047,05,哥哥打赢老大,01:22,中景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊装不在乎,阿磊想笑又忍住，手从按钮上离开，下巴更高,阿磊,得意但装成熟,肩膀轻抖,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,A
MSB048,05,哥哥打赢老大,01:24,近景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,小川半笑,小川看到哥哥赢，嘴角刚要笑，眼睛还看彬子反应,小川,半笑半怕,身体没有靠前,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,storyboard,B
MSB049,05,哥哥打赢老大,01:26,中景,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子视线钉住阿磊,彬子越过街机盯住阿磊，背景三同伙模糊出现,彬子/阿磊,羞辱转为报复,彬子不动，只看,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,现实拳脚打斗、主角参与对战、屏幕变现代游戏、胜利过度欢乐,end_frame,A
MSB050,06,老大记仇,01:28,近景,CAM_ARCADE_04_BOSS_LOSES_REACTION,彬子脸色沉下,彬子脸在红光里僵住，嘴角歪笑消失，下颌咬紧,彬子,受辱憋怒,只允许眼神变化,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,keyframe,A
MSB051,06,老大记仇,01:29,中景,CAM_ARCADE_04_BOSS_LOSES_REACTION,高杆入背景,高杆从背景一侧靠近，灰白夹克和长手臂先形成剪影,高杆,半垂眼，无聊但压迫,慢慢站到边缘,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,storyboard,A
MSB052,06,老大记仇,01:31,中景,CAM_ARCADE_04_BOSS_LOSES_REACTION,大海堵住后方,大海宽身体进入背景，褪色 T 恤和宽站姿把空间堵住,大海,看彬子脸色,脚站宽，抹汗,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,storyboard,B
MSB053,06,老大记仇,01:33,中景,CAM_ARCADE_04_BOSS_LOSES_REACTION,小齐起哄收声,小齐本来想笑，看到彬子脸色后笑收住，手抠袖口,小齐,讨好转紧张,身体前探又缩回,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,storyboard,B
MSB054,06,老大记仇,01:35,中景,CAM_ARCADE_04_BOSS_LOSES_REACTION,四人轮廓成组,彬子矮在前，高杆高瘦、大海宽、小齐飘在边缘，轮廓差异清楚,混混四人,不同情绪：憋怒、冷、等命令、慌兴奋,slow push-in,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,keyframe,A
MSB055,06,老大记仇,01:36,反打中景,CAM_ARCADE_04_BOSS_LOSES_REACTION,阿磊没察觉后果,阿磊带着弟弟准备离开，还在压住笑意,阿磊/三兄弟,阿磊得意，小川不安，小满跟随,向门口方向转身,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,storyboard,A
MSB056,06,老大记仇,01:38,中近景,CAM_ARCADE_04_BOSS_LOSES_REACTION,彬子看背影,彬子盯着阿磊背影，手把腰包往上一拽,彬子,决定报复,手部动作短促,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,storyboard,A
MSB057,06,老大记仇,01:40,中远景,CAM_ARCADE_04_BOSS_LOSES_REACTION,街机声变闷,游戏厅仍热闹，但四人组所在区域像被声音抽空,混混四人/环境,压住的怒气,背景人模糊不抢主体,彬子中右前景，高杆、大海、小齐聚到身后，CRT 红光和暗黄顶灯,立刻动手、四人统一脸、成年人黑帮、西装化、夸张武器,end_frame,B
MSB058,07,志得意满离开,01:42,中远景,CAM_ARCADE_EXIT_01_LEAVING,门内到门外,三兄弟从门内 CRT 彩光走进门外黄路灯，色温切换清楚,三兄弟,兴奋后松一口气,从室内到门口,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,start_frame,A
MSB059,07,志得意满离开,01:43,中景,CAM_ARCADE_EXIT_01_LEAVING,阿磊比划胜利,阿磊边走边用手模仿刚才的操作，肩膀抖一下,阿磊,得意但装酷,手部比划小幅,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,storyboard,A
MSB060,07,志得意满离开,01:45,中景,CAM_ARCADE_EXIT_01_LEAVING,小川学了一下,小川偷偷学阿磊按键动作，马上又攥回书包带,小川,想加入哥哥的得意,动作小而短,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,storyboard,B
MSB061,07,志得意满离开,01:47,中景,CAM_ARCADE_EXIT_01_LEAVING,小满跟着笑,小满看小川笑才跟着笑，衣角还攥在手里,小满,跟随式开心,脚步慢半拍,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,storyboard,B
MSB062,07,志得意满离开,01:49,远景,CAM_ARCADE_EXIT_01_LEAVING,门口空间回看,游戏机房门口缩在老楼角落里，三兄弟走向小路方向,环境/三兄弟,兴奋开始变远,低机位跟拍,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,keyframe,A
MSB063,07,志得意满离开,01:50,特写,CAM_ARCADE_EXIT_01_LEAVING,CRT 声远去,门口旧招牌和漏出的彩光逐渐留在后景，街机声远去,环境,无人物，过渡,镜头被暗处遮挡,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,storyboard,C
MSB064,07,志得意满离开,01:52,全景,CAM_ARCADE_EXIT_01_LEAVING,阿磊走在最前,阿磊保持前方，小川半步后，小满最后，队形回到初始但更放松,三兄弟,阿磊得意，小川亮眼，小满放松,向小路方向走,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,storyboard,A
MSB065,07,志得意满离开,01:54,中远景,CAM_ARCADE_EXIT_01_LEAVING,暗巷入口,三兄弟走进老小区背后的暗巷入口，黄路灯把影子拉长,三兄弟/环境,开心边缘出现不安,影子变长,游戏机房门口、旧卷帘门、昏黄路灯、门内 CRT 漏光、三兄弟全男孩,混混立刻追逐、门口开打、现代商业街、女生,end_frame,A
MSB066,08,偏僻小路,01:56,远景,CAM_ALLEY_01_WALK_HOME,小路全貌,狭窄小路两侧围墙和杂草，远处旧路灯，路面湿而空,环境,无人物，偏僻感,locked-off,老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家,大街、车流、现代路灯、人群、追逐提前开始,keyframe,A
MSB067,08,偏僻小路,01:57,全景,CAM_ALLEY_01_WALK_HOME,三兄弟进入小路,三兄弟从画面左侧进入，小路深处留出危险空间,三兄弟,还在兴奋,低机位 tracking,老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家,大街、车流、现代路灯、人群、追逐提前开始,start_frame,A
MSB068,08,偏僻小路,01:59,中景,CAM_ALLEY_01_WALK_HOME,阿磊继续讲赢法,阿磊边走边比划摇杆，小川抬头认真听,阿磊/小川,阿磊得意，小川崇拜,向前走，手比划,老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家,大街、车流、现代路灯、人群、追逐提前开始,storyboard,B
MSB069,08,偏僻小路,02:01,中景,CAM_ALLEY_01_WALK_HOME,小满跟不上,小满落后半步，脚尖内扣，努力跟上哥哥节奏,小满,放松但迟缓,小跑两步追上,老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家,大街、车流、现代路灯、人群、追逐提前开始,storyboard,C
MSB070,08,偏僻小路,02:03,特写,CAM_ALLEY_01_WALK_HOME,路边碎石第一次出现,路边碎砖石和一块普通石块在画面角落出现，不被强调成武器,道具/环境,无人物,固定低角度,老小区背后偏僻小路、围墙、杂草、碎砖石、潮湿地面、旧路灯，三兄弟从游戏机房回家,大街、车流、现代路灯、人群、追逐提前开始,prop,A
