whitebox_id,panel_id,batch,clip,scene_id,planned_whitebox_path,source_camera,layout_focus,character_blocking,pose_or_path,auto_file_ok,auto_image_ok,aspect_ok,exposure_ok,subject_visible,occlusion_ok,camera_position_ok,axis_ok,anchors_ok,adjacent_continuity_ok,panel_specific_ok,qa_status,issue_type,fix_action,approved_by,notes,similarity_ok,similarity_cluster,similarity_reference,similarity_score,composition_reuse_ok,composition_reuse_reason
WB2_COMPOUND_MSB011,MSB011,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png,CAM_COMPOUND_02_BROTHERS_APPROACH,小满更小，浅色大衬衫，抓衣角，脚尖内扣地跟上,小满,贴着小川的路线走,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=117.9 std=46.0 center_std=50.3",pass,,,,not_checked,
WB2_COMPOUND_MSB012,MSB012,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png,CAM_COMPOUND_02_BROTHERS_APPROACH,三兄弟同框，阿磊高一头，小川中间，小满明显更小,三兄弟,三角形站位建立,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=102.9 std=38.3 center_std=47.4",pass,,,,not_checked,
WB2_COMPOUND_MSB013,MSB013,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB013.png,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊半回头催弟弟，手背蹭鼻尖，小川抬眼看他,阿磊/小川,轻微回头，不改变路线,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=108.3 std=40.7 center_std=48.8",pass,,,,not_checked,
WB2_COMPOUND_MSB014,MSB014,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png,CAM_COMPOUND_02_BROTHERS_APPROACH,CRT 光照到小川眼睛和红领巾，小川嘴微张,小川,手仍攥书包带,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=111.4 std=44.9 center_std=49.1",pass,,,,not_checked,
WB2_COMPOUND_MSB015,MSB015,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB015.png,CAM_COMPOUND_02_BROTHERS_APPROACH,小满在后面眨眼，抓衣角更紧，身体往小川背后缩,小满,脚尖内扣停一下,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=109.9 std=46.7 center_std=54.2",pass,,,,not_checked,
WB2_COMPOUND_MSB016,MSB016,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png,CAM_COMPOUND_02_BROTHERS_APPROACH,三兄弟停在门口，门缝光打到鞋尖，阿磊站最前,三兄弟,队形稳定,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=98.0 std=44.8 center_std=54.9",pass,,,,not_checked,
WB2_COMPOUND_MSB017,MSB017,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB017.png,CAM_COMPOUND_02_BROTHERS_APPROACH,阿磊的手伸向脏门帘或门边，袖口磨毛清楚,阿磊/道具,手从口袋抽出,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=101.6 std=48.0 center_std=57.4",pass,,,,not_checked,
WB2_COMPOUND_MSB018,MSB018,B01,02,SCN_COMPOUND,whitebox_renders_v2/B01/WB2_COMPOUND_MSB018.png,CAM_COMPOUND_02_BROTHERS_APPROACH,门帘在三兄弟面前轻晃，三张不同年龄的脸被 CRT 光分层照亮,三兄弟,静止一拍,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=108.1 std=33.4 center_std=31.2",pass,,,,not_checked,
WB2_ARCADE_MSB019,MSB019,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png,CAM_ARCADE_01_ENTRANCE_WIDE,脏塑料门帘贴着镜头擦过，后面露出旧街机彩光,环境/道具,门帘晃动作为隐藏剪辑,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=119.2 std=48.4 center_std=36.8",pass,,,,not_checked,
WB2_ARCADE_MSB020,MSB020,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png,CAM_ARCADE_01_ENTRANCE_WIDE,三兄弟站在入口下方，室内低天花和两侧街机压住他们,三兄弟,站位保持阿磊前、小川中、小满后,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=116.9 std=47.7 center_std=39.4",pass,,,,not_checked,
WB2_ARCADE_MSB021,MSB021,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png,CAM_ARCADE_01_ENTRANCE_WIDE,阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口,阿磊,向前一步后停,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=113.2 std=46.4 center_std=38.6",pass,,,,not_checked,
WB2_ARCADE_MSB022,MSB022,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png,CAM_ARCADE_01_ENTRANCE_WIDE,小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚,小川,头部小幅转向街机,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=115.0 std=47.2 center_std=40.7",pass,,,,not_checked,
WB2_ARCADE_MSB023,MSB023,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png,CAM_ARCADE_01_ENTRANCE_WIDE,小满靠近小川身后，只露半个身体，看向发光屏幕,小满,抓衣角，跟半步,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=118.2 std=48.0 center_std=38.9",pass,,,,not_checked,
WB2_ARCADE_MSB024,MSB024,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png,CAM_ARCADE_01_ENTRANCE_WIDE,两排旧街机形成狭窄通道，远处有人影但不抢主体,环境,slow dolly in,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=118.5 std=48.0 center_std=38.2",pass,,,,not_checked,
WB2_ARCADE_MSB025,MSB025,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png,CAM_ARCADE_01_ENTRANCE_WIDE,磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,道具,固定近景,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=152.7 std=34.3 center_std=5.5",pass,,,,not_checked,
WB2_ARCADE_MSB026,MSB026,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png,CAM_ARCADE_01_ENTRANCE_WIDE,昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,环境,只允许烟雾轻动,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=118.5 std=48.4 center_std=39.1",pass,,,,not_checked,
WB2_ARCADE_MSB027,MSB027,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png,CAM_ARCADE_01_ENTRANCE_WIDE,三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,三兄弟,前进方向清楚,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=114.5 std=46.5 center_std=37.7",pass,,,,not_checked,
WB2_ARCADE_MSB028,MSB028,B01,03,SCN_ARCADE,whitebox_renders_v2/B01/WB2_ARCADE_MSB028.png,CAM_ARCADE_01_ENTRANCE_WIDE,远处一台街头霸王机器的屏幕更亮，像目标点,环境/道具,镜头停在机器方向,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=118.0 std=48.4 center_std=38.8",pass,,,,not_checked,
WB2_ARCADE_MSB029,MSB029,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB029.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,街头霸王街机占画面中心，屏幕和操作台磨损清楚,街机,固定构图,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=120.6 std=34.5 center_std=28.3",pass,,,,not_checked,
WB2_ARCADE_MSB030,MSB030,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB030.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊站到操作位，手放在摇杆旁，下巴微扬,阿磊,身体前倾，肩膀撑开,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=122.5 std=30.0 center_std=30.4",pass,,,,not_checked,
WB2_ARCADE_MSB031,MSB031,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB031.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小川站在阿磊侧后，红领巾被屏幕光照亮，手还抓书包带,小川,不碰机器，只看,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=122.4 std=30.8 center_std=27.1",pass,,,,not_checked,
WB2_ARCADE_MSB032,MSB032,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB032.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小满只露出半张脸和浅色衬衫，躲在小川身后看屏幕,小满,贴近小川,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=122.6 std=30.8 center_std=26.6",pass,,,,not_checked,
WB2_ARCADE_MSB033,MSB033,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB033.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊的儿童手指放到彩色按钮上，袖口磨毛和按钮划痕同框,阿磊/道具,手开始操作前的准备,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=122.0 std=29.0 center_std=23.9",pass,,,,not_checked,
WB2_ARCADE_MSB034,MSB034,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB034.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,彬子从机器另一侧进入画面，黄发梢和黑夹克先被看见,彬子,下巴前顶，靠近机器,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=108.0 std=47.4 center_std=57.0",pass,,,,not_checked,
WB2_ARCADE_MSB035,MSB035,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB035.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,阿磊和彬子分别站在机器两侧，屏幕在中间，身高差和气势差清楚,阿磊/彬子,对战站位锁定,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=113.6 std=40.7 center_std=31.3",pass,,,,not_checked,
WB2_ARCADE_MSB036,MSB036,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB036.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,小川看见彬子，笑意收住，眼睛从屏幕移到彬子脸上,小川,头部小幅转移,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=112.1 std=39.1 center_std=26.3",pass,,,,not_checked,
WB2_ARCADE_MSB037,MSB037,B02,04,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB037.png,CAM_ARCADE_02_STREET_FIGHTER_CABINET,硬币投入街机槽，金属声和 CRT 光形成对战开始点,道具,手离开硬币槽,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=127.8 std=24.0 center_std=9.4",pass,,,,not_checked,
WB2_ARCADE_MSB038,MSB038,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB038.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊左前景肩背、彬子右侧，街霸屏幕夹在中间,阿磊/彬子,镜头固定在屏幕和肩背之间,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=87.1 std=60.3 center_std=56.4",pass,,,,not_checked,
WB2_ARCADE_MSB039,MSB039,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB039.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊手指在彩色按钮上快速动作，袖口磨毛明显,阿磊/道具,只拍手和按钮,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=114.4 std=44.9 center_std=41.1",pass,,,,not_checked,
WB2_ARCADE_MSB040,MSB040,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB040.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子侧脸被 CRT 光照亮，嘴角歪，眼睛从下往上瞪,彬子,下巴前顶,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=93.7 std=53.3 center_std=46.3",pass,,,,not_checked,
WB2_ARCADE_MSB041,MSB041,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB041.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,小川不看屏幕，先看阿磊脸色，试图判断能不能高兴,小川,攥书包带更紧,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=104.5 std=54.6 center_std=61.0",pass,,,,not_checked,
WB2_ARCADE_MSB042,MSB042,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB042.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,街霸屏幕出现强烈攻击闪光，不需要真实游戏版权细节,街机屏幕,CRT 闪烁,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=116.5 std=42.3 center_std=44.2",pass,,,,not_checked,
WB2_ARCADE_MSB043,MSB043,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB043.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊嘴角轻微上扬但不敢太明显，肩膀一抖,阿磊,手继续操作,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=105.4 std=55.8 center_std=47.8",pass,,,,not_checked,
WB2_ARCADE_MSB044,MSB044,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB044.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子笑意消失，眨眼变少，鼻翼绷紧,彬子,身体僵住,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=99.8 std=54.4 center_std=54.8",pass,,,,not_checked,
WB2_ARCADE_MSB045,MSB045,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB045.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CRT 胜利画面红光爆亮，屏幕边缘反射在机身上,街机屏幕,画面闪红,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=111.6 std=45.0 center_std=46.9",pass,,,,not_checked,
WB2_ARCADE_MSB046,MSB046,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB046.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,胜利红光照到彬子脸，黄发梢和嘴角小痣清楚,彬子,完全停住一拍,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=94.9 std=51.8 center_std=49.3",pass,,,,not_checked,
WB2_ARCADE_MSB047,MSB047,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB047.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,阿磊想笑又忍住，手从按钮上离开，下巴更高,阿磊,肩膀轻抖,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=104.5 std=54.8 center_std=62.8",pass,,,,not_checked,
WB2_ARCADE_MSB048,MSB048,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB048.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,小川看到哥哥赢，嘴角刚要笑，眼睛还看彬子反应,小川,身体没有靠前,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=98.6 std=50.5 center_std=52.6",pass,,,,not_checked,
WB2_ARCADE_MSB049,MSB049,B02,05,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB049.png,CAM_ARCADE_03_DUEL_OVER_SHOULDER,彬子越过街机盯住阿磊，背景三同伙模糊出现,彬子/阿磊,彬子不动，只看,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=92.6 std=57.1 center_std=56.9",pass,,,,not_checked,
WB2_ARCADE_MSB050,MSB050,B02,06,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB050.png,CAM_ARCADE_04_BOSS_LOSES_REACTION,彬子脸在红光里僵住，嘴角歪笑消失，下颌咬紧,彬子,只允许眼神变化,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=100.3 std=47.9 center_std=54.0",pass,,,,not_checked,
WB2_ARCADE_MSB051,MSB051,B02,06,SCN_ARCADE,whitebox_renders_v2/B02/WB2_ARCADE_MSB051.png,CAM_ARCADE_04_BOSS_LOSES_REACTION,高杆从背景一侧靠近，灰白夹克和长手臂先形成剪影,高杆,慢慢站到边缘,pass,pass,pass,pass,review,review,human_review,human_review,human_review,human_review,human_review,auto_pass_needs_human_review,,,,"panel-level whitebox default: one MSB panel, one whitebox auto_metrics width=1280 height=720 mean=116.6 std=35.9 center_std=35.8",pass,,,,not_checked,
