cue_id,visual_range,time_start,time_end,category,cue_name,story_function,sonic_description,sync_point,intensity,processing,loopable,wav_name,priority
SFX_006,Clip 08 / MSB070-MSB071,02:04.0,02:08.0,foley,路边碎石预埋,让石块先作为环境存在。,鞋边蹭过碎砖，石头轻轻滚半圈。,object,2,close ground foley,no,audio/sfx/SFX_006_roadside_stone_preset.wav,A
MUS_002,Clip 09-10 / MSB076-MSB097,02:14.0,02:56.0,music,堵路心跳低脉冲,压缩空间，不抢对白。,低频脉冲很慢，像远处机器，不像动作片鼓点。,free,3,"low pulse, sparse",yes,audio/music/MUS_002_alley_pressure_pulse.wav,B
FOLEY_002,Clip 10 / MSB086-MSB097,02:32.0,02:56.0,foley,围住和推搡,让暴力真实但不爽片化。,衣料摩擦、鞋底湿地滑、身体碰墙，避免清脆拳脚。,action,4,"close, handheld feel",no,audio/sfx/FOLEY_002_shove_scuffle.wav,A
SIL_001,Clip 11 / MSB105-MSB107,03:07.0,03:11.0,silence,石块后声音抽空,让事件不可撤回。,环境突然掉下去，只剩耳鸣和极轻电流。,action/result,5,"hard drop, tinnitus high tone",no,audio/sfx/SIL_001_stone_after_drop.wav,A
SFX_007,Clip 11 / MSB104-MSB106,03:05.0,03:07.0,hard_sfx,被遮挡的闷响,表达失手但避免血腥。,前景遮挡下的一声短闷响，低频多，高频少。,action,4,"muffled, no gore detail",no,audio/sfx/SFX_007_hidden_stone_impact.wav,A
FOLEY_003,Clip 12 / MSB108-MSB119,03:16.0,03:36.0,foley,小川逃跑脚步和书包,把恐惧变成身体节奏。,乱脚步、白鞋打滑、浅绿书包肩带拍背。,action,5,"moving close, breath separate",no,audio/sfx/FOLEY_003_xiaochuan_escape_run.wav,A
TRANS_002,Clip 12-13 / MSB118-MSB122,03:32.0,03:40.0,transition_sfx,黑暗入口吞声,现实小路进入废楼。,后方喊声被门洞吞掉，脚步变成长走廊回声。,transition,4,reverb tail morph,no,audio/sfx/TRANS_002_alley_to_corridor.wav,A
AMB_004,Clip 13-14 / MSB120-MSB138,03:36.0,04:10.0,ambience,废楼走廊冷绿底噪,建立梦核空间。,冷绿荧光灯、远处水滴、空楼混响、电线轻响。,free,3,long corridor reverb,yes,audio/ambience/AMB_004_abandoned_corridor_loop.wav,A
SFX_008,Clip 14 / MSB133-MSB138,04:00.0,04:10.0,transition_sfx,灯管闪成电话铃节奏,把空间声音导向电话亭。,荧光灯闪烁节奏逐渐变成旧电话铃前奏。,transition,3,rhythmic flicker morph,no,audio/sfx/SFX_008_fluorescent_to_ring.wav,A
SFX_009,Clip 15-17 / MSB139-MSB161,04:10.0,04:50.0,hard_sfx,旧电话铃,召唤小川。,老式电话铃，干、近、稳定，带走廊混响。,object,4,"old phone bell, corridor reverb",yes,audio/sfx/SFX_009_old_phone_ring_loop.wav,A
FOLEY_004,Clip 17 / MSB155-MSB160,04:40.0,04:47.0,foley,听筒拿起和电话线,电话动作变成转场源头。,旧塑料摩擦、听筒离座、弹簧线轻晃。,object/action,4,close foley,no,audio/sfx/FOLEY_004_receiver_lift_cord.wav,A
TRANS_003,Clip 18 / MSB162-MSB169,04:50.0,05:08.0,transition_sfx,电话线扫描线扩散,现实电子化。,电话线噪声变 CRT 扫描线，低分辨率色块闪动。,transition,5,"CRT flutter, bitcrush ramp",no,audio/sfx/TRANS_003_phone_scanline_morph.wav,A
MUS_003,Clip 19-20 / MSB170-MSB188,05:08.0,05:50.0,source_music,8-bit 横版关卡循环,游戏规则接管现实。,90年代低分辨率清版街机 loop，有限声部，带不安小调。,UI/source,4,"8-bit, mono-ish arcade speaker",yes,audio/music/MUS_003_8bit_stage_loop.wav,A
SFX_010,Clip 20 / MSB178-MSB184,05:24.0,05:36.0,hard_sfx,书包旋风和硬币冲击波,技能来自小学生物件。,短促像素旋风、硬币弹射、敌人低分辨率后退，不复杂连招。,action/UI,4,8-bit SFX,no,audio/sfx/SFX_010_bag_coin_attacks.wav,A
SFX_011,Clip 20 / MSB186-MSB187,05:38.0,05:44.0,hard_sfx,WIN 出现后的静止,爽点后压住庆祝。,WIN 弹出一声，随后一秒空白，只留街机底噪。,UI,3,8-bit UI then silence,no,audio/sfx/SFX_011_win_stillness.wav,A
SFX_012,Clip 20 / MSB188,05:45.0,05:50.0,hard_sfx,INSERT COIN 闪烁尾针,把胜利变成循环。,角落文字闪烁哔声，旧街机待机音回到最初的电话/投币感。,UI/end,5,"8-bit blink, CRT hum tail",yes,audio/sfx/SFX_012_insert_coin_blink.wav,A
