audio_id,visual_range,time_start,time_end,speaker,voice_type,line_text,subtext,delivery,pause_before,pause_after,mic_perspective,processing,wav_name,priority
DIA_012,Clip 09 / MSB084-MSB085,02:23.0,02:24.3,彬子,dialogue,谁让你走了？,权力关系转向围堵。,下巴前顶，咬字硬，不要成年狠话。,0.1,0.5,medium close / alley,"dry, slight slapback later",audio/voice_clean/DIA_012_binzi_shuirang.wav,A
DIA_013,Clip 10 / MSB094,02:42.0,02:42.8,小满,dialogue,哥……,小弟弟恐惧锚点。,很小，快哭但没哭，气不够。,0.6,0.3,close / alley edge,dry child voice,audio/voice_clean/DIA_013_xiaoman_ge.wav,A
DIA_014,Clip 10 / MSB093-MSB097,02:49.0,02:50.0,小川,dialogue,别打了……,小川第一次试图介入，但没有力量。,发白的小声，像从喉咙里挤出来。,0.2,0.2,close / alley side,dry child voice,audio/voice_clean/DIA_014_xiaochuan_biedale.wav,A
DIA_015,Clip 10 / MSB096-MSB097,02:51.0,02:52.2,彬子,dialogue,你再说一遍？,把压力从哥哥压向小川。,突然低下来，危险但仍是坏孩子，不是成年人。,0.1,0.4,medium close / alley,"dry, alley reflection later",audio/voice_clean/DIA_015_binzi_zaishuo.wav,B
SIL_001,Clip 11 / MSB105-MSB107,03:07.0,03:11.0,全体,silence,,石块失手后声音抽空。,没有台词；只留高频耳鸣和远处很轻的电流。,0,0,scene wide / alley,"designed silence, no generated voice",audio/sfx/SIL_001_stone_after_drop.wav,A
DIA_016,Clip 12 / MSB108-MSB110,03:16.5,03:17.2,小川,dialogue,哥……,失手后逃跑前的断裂反应。,气息破，几乎听不见，不要哭腔表演。,0.2,0.2,close / moving,dry child voice,audio/voice_clean/DIA_016_xiaochuan_ge_after.wav,A
WLA_002,Clip 12 / MSB112-MSB119,03:19.0,03:26.0,后方追兵,offscreen,站住！……他跑了……,追逐压力，不能盖过小川呼吸。,远处、乱、含混，分不清具体是谁。,0,0,distant / alley behind,"muffled, moving, alley reflections",audio/voice_processed/WLA_002_pursuers_offscreen.wav,B
DIA_017,Clip 16 / MSB151-MSB154,04:32.0,04:33.0,小川,dialogue,喂？,小川对电话亭的第一声试探。,很轻，问空气，声音被走廊吃掉。,0.5,0.6,close / corridor phonebooth,"dry child voice, reverb later",audio/voice_clean/DIA_017_xiaochuan_wei.wav,A
DIA_018,Clip 17 / MSB159-MSB161,04:45.0,04:46.0,小川,dialogue,谁啊？,接起电话后的本能反应。,低声，害怕，不要像恐怖片喊叫。,0.3,0.5,close / receiver,dry child voice,audio/voice_clean/DIA_018_xiaochuan_shuia.wav,A
SYS_001,Clip 17 / MSB161,04:47.0,04:49.0,电话线路,system,READY,电话把现实接到游戏规则。,极轻、断续、像旧电话线里混进街机音，不要清晰机器人女声。,0.4,0.6,phone / receiver,"phone bandpass, CRT flutter, low bit depth",audio/voice_processed/SYS_001_phone_ready.wav,A
