whitebox_id,panel_id,batch,clip,scene_id,source_camera,render_path,location,lens_or_ortho,layout_focus,pose_or_path,status
WB2_ARCADE_MSB024,MSB024,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB024.png,"(0.32, -5.58, 1.16)",22.0mm,两排旧街机形成狭窄通道，远处有人影但不抢主体,slow dolly in,rendered
WB2_ARCADE_MSB025,MSB025,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB025.png,"(-0.32, -5.4, 1.2)",50.0mm,磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比,固定近景,rendered
WB2_ARCADE_MSB026,MSB026,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB026.png,"(-0.16, -5.22, 1.24)",22.0mm,昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感,只允许烟雾轻动,rendered
WB2_ARCADE_MSB027,MSB027,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB027.png,"(0.0, -5.58, 1.16)",22.0mm,三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走,前进方向清楚,rendered
WB2_ARCADE_MSB028,MSB028,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B01\WB2_ARCADE_MSB028.png,"(0.16, -5.4, 1.2)",22.0mm,远处一台街头霸王机器的屏幕更亮，像目标点,镜头停在机器方向,rendered
WB2_ARCADE_MSB029,MSB029,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB029.png,"(-2.55, -3.25, 1.18)",24.0mm,街头霸王街机占画面中心，屏幕和操作台磨损清楚,固定构图,rendered
WB2_ARCADE_MSB030,MSB030,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB030.png,"(-2.22, -3.18, 1.06)",34.0mm,阿磊站到操作位，手放在摇杆旁，下巴微扬,身体前倾，肩膀撑开,rendered
WB2_ARCADE_MSB031,MSB031,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB031.png,"(-2.06, -3.0, 1.1)",34.0mm,小川站在阿磊侧后，红领巾被屏幕光照亮，手还抓书包带,不碰机器，只看,rendered
WB2_ARCADE_MSB032,MSB032,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB032.png,"(-1.9, -2.82, 1.14)",34.0mm,小满只露出半张脸和浅色衬衫，躲在小川身后看屏幕,贴近小川,rendered
WB2_ARCADE_MSB033,MSB033,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB033.png,"(-1.74, -3.18, 1.06)",34.0mm,阿磊的儿童手指放到彩色按钮上，袖口磨毛和按钮划痕同框,手开始操作前的准备,rendered
WB2_ARCADE_MSB034,MSB034,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB034.png,"(1.95, -2.7, 1.18)",42.0mm,彬子从机器另一侧进入画面，黄发梢和黑夹克先被看见,下巴前顶，靠近机器,rendered
WB2_ARCADE_MSB035,MSB035,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB035.png,"(-2.22, -2.82, 1.14)",34.0mm,阿磊和彬子分别站在机器两侧，屏幕在中间，身高差和气势差清楚,对战站位锁定,rendered
WB2_ARCADE_MSB036,MSB036,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB036.png,"(-2.06, -3.18, 1.06)",34.0mm,小川看见彬子，笑意收住，眼睛从屏幕移到彬子脸上,头部小幅转移,rendered
WB2_ARCADE_MSB037,MSB037,B02,04,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB037.png,"(-1.9, -3.0, 1.1)",34.0mm,硬币投入街机槽，金属声和 CRT 光形成对战开始点,手离开硬币槽,rendered
WB2_ARCADE_MSB038,MSB038,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB038.png,"(-1.09, -2.02, 1.29)",41.0mm,阿磊左前景肩背、彬子右侧，街霸屏幕夹在中间,镜头固定在屏幕和肩背之间,rendered
WB2_ARCADE_MSB039,MSB039,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB039.png,"(-0.93, -2.38, 1.21)",41.0mm,阿磊手指在彩色按钮上快速动作，袖口磨毛明显,只拍手和按钮,rendered
WB2_ARCADE_MSB040,MSB040,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB040.png,"(-1.57, -2.2, 1.25)",41.0mm,彬子侧脸被 CRT 光照亮，嘴角歪，眼睛从下往上瞪,下巴前顶,rendered
WB2_ARCADE_MSB041,MSB041,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB041.png,"(-1.41, -2.02, 1.29)",41.0mm,小川不看屏幕，先看阿磊脸色，试图判断能不能高兴,攥书包带更紧,rendered
WB2_ARCADE_MSB042,MSB042,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB042.png,"(-1.25, -2.38, 1.21)",41.0mm,街霸屏幕出现强烈攻击闪光，不需要真实游戏版权细节,CRT 闪烁,rendered
WB2_ARCADE_MSB043,MSB043,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB043.png,"(-1.09, -2.2, 1.25)",41.0mm,阿磊嘴角轻微上扬但不敢太明显，肩膀一抖,手继续操作,rendered
WB2_ARCADE_MSB044,MSB044,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB044.png,"(-0.93, -2.02, 1.29)",41.0mm,彬子笑意消失，眨眼变少，鼻翼绷紧,身体僵住,rendered
WB2_ARCADE_MSB045,MSB045,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB045.png,"(-1.57, -2.38, 1.21)",41.0mm,CRT 胜利画面红光爆亮，屏幕边缘反射在机身上,画面闪红,rendered
WB2_ARCADE_MSB046,MSB046,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB046.png,"(-1.41, -2.2, 1.25)",41.0mm,胜利红光照到彬子脸，黄发梢和嘴角小痣清楚,完全停住一拍,rendered
WB2_ARCADE_MSB047,MSB047,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB047.png,"(-1.25, -2.02, 1.29)",41.0mm,阿磊想笑又忍住，手从按钮上离开，下巴更高,肩膀轻抖,rendered
WB2_ARCADE_MSB048,MSB048,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB048.png,"(-1.09, -2.38, 1.21)",41.0mm,小川看到哥哥赢，嘴角刚要笑，眼睛还看彬子反应,身体没有靠前,rendered
WB2_ARCADE_MSB049,MSB049,B02,05,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB049.png,"(-0.93, -2.2, 1.25)",41.0mm,彬子越过街机盯住阿磊，背景三同伙模糊出现,彬子不动，只看,rendered
WB2_ARCADE_MSB050,MSB050,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB050.png,"(1.63, -2.07, 1.19)",40.0mm,彬子脸在红光里僵住，嘴角歪笑消失，下颌咬紧,只允许眼神变化,rendered
WB2_ARCADE_MSB051,MSB051,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB051.png,"(2.77, -3.15, 1.22)",30.0mm,高杆从背景一侧靠近，灰白夹克和长手臂先形成剪影,慢慢站到边缘,rendered
WB2_ARCADE_MSB052,MSB052,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB052.png,"(2.85, -3.15, 1.22)",30.0mm,大海宽身体进入背景，褪色 T 恤和宽站姿把空间堵住,脚站宽，抹汗,rendered
WB2_ARCADE_MSB053,MSB053,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB053.png,"(2.93, -3.15, 1.22)",30.0mm,小齐本来想笑，看到彬子脸色后笑收住，手抠袖口,身体前探又缩回,rendered
WB2_ARCADE_MSB054,MSB054,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB054.png,"(2.77, -3.15, 1.22)",30.0mm,彬子矮在前，高杆高瘦、大海宽、小齐飘在边缘，轮廓差异清楚,slow push-in,rendered
WB2_ARCADE_MSB055,MSB055,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB055.png,"(2.85, -3.15, 1.22)",30.0mm,阿磊带着弟弟准备离开，还在压住笑意,向门口方向转身,rendered
WB2_ARCADE_MSB056,MSB056,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB056.png,"(2.93, -3.15, 1.22)",30.0mm,彬子盯着阿磊背影，手把腰包往上一拽,手部动作短促,rendered
WB2_ARCADE_MSB057,MSB057,B02,06,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B02\WB2_ARCADE_MSB057.png,"(2.77, -3.15, 1.22)",30.0mm,游戏厅仍热闹，但四人组所在区域像被声音抽空,背景人模糊不抢主体,rendered
WB2_EXIT_MSB058,MSB058,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB058.png,"(13.15, -5.6, 1.35)",32.0mm,三兄弟从门内 CRT 彩光走进门外黄路灯，色温切换清楚,从室内到门口,rendered
WB2_EXIT_MSB059,MSB059,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB059.png,"(13.7, -5.4, 1.35)",36.0mm,阿磊边走边用手模仿刚才的操作，肩膀抖一下,手部比划小幅,rendered
WB2_EXIT_MSB060,MSB060,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB060.png,"(11.5, -5.8, 1.35)",24.0mm,小川偷偷学阿磊按键动作，马上又攥回书包带,动作小而短,rendered
WB2_EXIT_MSB061,MSB061,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB061.png,"(12.05, -5.6, 1.35)",28.0mm,小满看小川笑才跟着笑，衣角还攥在手里,脚步慢半拍,rendered
WB2_EXIT_MSB062,MSB062,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB062.png,"(12.6, -5.4, 1.35)",32.0mm,游戏机房门口缩在老楼角落里，三兄弟走向小路方向,低机位跟拍,rendered
WB2_EXIT_MSB063,MSB063,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB063.png,"(13.15, -5.8, 1.35)",36.0mm,门口旧招牌和漏出的彩光逐渐留在后景，街机声远去,镜头被暗处遮挡,rendered
WB2_EXIT_MSB064,MSB064,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB064.png,"(13.7, -5.6, 1.35)",24.0mm,阿磊保持前方，小川半步后，小满最后，队形回到初始但更放松,向小路方向走,rendered
WB2_EXIT_MSB065,MSB065,B03,07,SCN_EXIT,CAM_ARCADE_EXIT_01_LEAVING,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_EXIT_MSB065.png,"(11.5, -5.4, 1.35)",28.0mm,三兄弟走进老小区背后的暗巷入口，黄路灯把影子拉长,影子变长,rendered
WB2_ALLEY_MSB066,MSB066,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB066.png,"(31.82, -10.08, 1.53)",24.0mm,狭窄小路两侧围墙和杂草，远处旧路灯，路面湿而空,locked-off,rendered
WB2_ALLEY_MSB067,MSB067,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB067.png,"(32.0, -9.8, 1.55)",24.0mm,三兄弟从画面左侧进入，小路深处留出危险空间,低机位 tracking,rendered
WB2_ALLEY_MSB068,MSB068,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB068.png,"(32.18, -9.52, 1.57)",24.0mm,阿磊边走边比划摇杆，小川抬头认真听,向前走，手比划,rendered
WB2_ALLEY_MSB069,MSB069,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB069.png,"(32.36, -10.08, 1.53)",24.0mm,小满落后半步，脚尖内扣，努力跟上哥哥节奏,小跑两步追上,rendered
WB2_ALLEY_MSB070,MSB070,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB070.png,"(31.64, -9.8, 1.55)",24.0mm,路边碎砖石和一块普通石块在画面角落出现，不被强调成武器,固定低角度,rendered
WB2_ALLEY_MSB071,MSB071,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB071.png,"(31.82, -9.52, 1.57)",24.0mm,小川从石块旁走过，完全没注意，书包甩过前景,石块作为环境锚点,rendered
WB2_ALLEY_MSB072,MSB072,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB072.png,"(32.0, -10.08, 1.53)",24.0mm,小路前方灯下出现几个人影，三兄弟还未完全意识到,人物在远处不清晰,rendered
WB2_ALLEY_MSB073,MSB073,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB073.png,"(32.18, -9.8, 1.55)",24.0mm,阿磊的比划停住，身体略挡到小川前面,步子慢下来,rendered
WB2_ALLEY_MSB074,MSB074,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB074.png,"(32.36, -9.52, 1.57)",24.0mm,小川不看前方，先看阿磊脸色，笑收住,头转向阿磊,rendered
WB2_ALLEY_MSB075,MSB075,B03,08,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB075.png,"(31.64, -10.08, 1.53)",24.0mm,三兄弟停住，前方阴影更清楚，后方路变暗,左右空间锁定,rendered
WB2_ALLEY_MSB076,MSB076,B03,09,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB076.png,"(31.82, -8.6, 1.65)",24.0mm,彬子带三人从小路前方堵住去路，四人剪影差异明显,locked-off,rendered
WB2_ALLEY_MSB077,MSB077,B03,09,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB077.png,"(32.0, -8.32, 1.67)",24.0mm,彬子短小身形向前压，下巴顶出，手拽腰包,向前半步后停,rendered
WB2_ALLEY_MSB078,MSB078,B03,09,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB078.png,"(30.55, -4.95, 1.2)",40.0mm,高杆站在路边，长手臂横住墙边空隙,横臂封路,rendered
WB2_ALLEY_MSB079,MSB079,B03,09,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,E:\视觉\投币口\01_AIGC\whitebox_renders_v2\B03\WB2_ALLEY_MSB079.png,"(33.2, -4.7, 1.08)",42.0mm,大海宽脚站在路中，褪色 T 恤汗湿领口，身体像墙,宽站姿不动,rendered
