card_uid,item_id,scene_id,beat,shot_type,frame_description,linked_cards,spatial_logic,image_prompt,video_prompt,notes,revision_note,sort_after,selected,status,output_path,references
CARD_BW_011,OP_SHOT_011,SCN_REF003_NADIA_ENTRY,Nadia 正面近景,Nadia close-up,"Nadia turns into a closer bright expression, Blue Water identity detail may be visible, non-sexualized.","OP_SHOT_010, OP_SHOT_012","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:27.00. Shot OP_SHOT_011: Nadia close-up. Frame description: Nadia turns into a closer bright expression, Blue Water identity detail may be visible, non-sexualized. Unit: VU_REF003_007_NADIA_PROFILE_ENTRY (Nadia 侧脸入场到近景). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_007_NADIA_PROFILE_ENTRY
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_007_NADIA_PROFILE_ENTRY.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_011 (图2 / Nadia_close)
- 参考时间 / Reference timing: 00:27.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH02 R2 official keyframe generated from full video reference. Visual QA pass: Nadia close-up, age-appropriate, conservative costume, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_010,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_011_v2.png,[]
CARD_BW_012,OP_SHOT_012,SCN_REF003_JEAN_INTRO,Jean 入场,Jean inventor intro,"Jean, 14-year-old French inventor boy, looks up from under a blue cap with round glasses and red bow tie.","OP_SHOT_011, OP_SHOT_013","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:29.00. Shot OP_SHOT_012: Jean inventor intro. Frame description: Jean, 14-year-old French inventor boy, looks up from under a blue cap with round glasses and red bow tie. Unit: VU_REF003_008_JEAN_INTRO (Jean 帽子与少年发明家入场). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_008_JEAN_INTRO
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_008_JEAN_INTRO.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_012 (图1 / Jean_hat_face)
- 参考时间 / Reference timing: 00:29.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH02 official keyframe generated from full video reference. Visual QA pass: Jean young inventor intro, age-appropriate, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_011,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_012.png,[]
CARD_BW_013,OP_SHOT_013,SCN_REF003_MARIE_KING,Marie 与 King 草地笑点,Marie King meadow,"Marie and small lion cub King in a bright meadow, playful and child-safe.","OP_SHOT_012, OP_SHOT_014","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:31.50. Shot OP_SHOT_013: Marie King meadow. Frame description: Marie and small lion cub King in a bright meadow, playful and child-safe. Unit: VU_REF003_009_MARIE_KING_MEADOW (Marie 与 King 草地段). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_009_MARIE_KING_MEADOW
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_009_MARIE_KING_MEADOW.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_013 (图1 / Marie_King_meadow)
- 参考时间 / Reference timing: 00:31.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH03 official keyframe generated from full video reference. Visual QA pass: Marie and King laughing in meadow, child-safe, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane. Heroine design replacement generated with selected C candidate.,OP_SHOT_012,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_013.png,[]
CARD_BW_014,OP_SHOT_014,SCN_REF003_MARIE_KING,Marie 与 King 近景,Marie King close,"Cheerful close character beat for Marie and King, safe and non-threatening.","OP_SHOT_013, OP_SHOT_015","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:34.00. Shot OP_SHOT_014: Marie King close. Frame description: Cheerful close character beat for Marie and King, safe and non-threatening. Unit: VU_REF003_009_MARIE_KING_MEADOW (Marie 与 King 草地段). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_009_MARIE_KING_MEADOW
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_009_MARIE_KING_MEADOW.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_014 (图2 / Marie_King_close)
- 参考时间 / Reference timing: 00:34.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH03 official keyframe generated from full video reference. Visual QA pass: Marie and King close joyful beat, child-safe and friendly, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane. Heroine design replacement generated with selected C candidate.,OP_SHOT_013,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_014.png,[]
CARD_BW_015,OP_SHOT_015,SCN_REF003_GRANDIS_TRIO,Grandis 三人组宽景,Grandis trio wide,"Grandis, Sanson, and Hanson pose theatrically in a live-action period setting.","OP_SHOT_014, OP_SHOT_016","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:35.50. Shot OP_SHOT_015: Grandis trio wide. Frame description: Grandis, Sanson, and Hanson pose theatrically in a live-action period setting. Unit: VU_REF003_010_GRANDIS_TRIO_INTRO (Grandis 三人组介绍). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_010_GRANDIS_TRIO_INTRO
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_010_GRANDIS_TRIO_INTRO.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_015 (图1 / Grandis_trio_wide)
- 参考时间 / Reference timing: 00:35.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH03 official keyframe generated from full video reference. Visual QA pass: Grandis trio wide period lineup, three adults, no text/logo; normalized to 1915x821.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_014,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_015.png,[]
CARD_BW_016,OP_SHOT_016,SCN_REF003_GRANDIS_TRIO,Grandis 三人组近景,Grandis trio close,"Close energetic character beat for the adult trio, playful but grounded.","OP_SHOT_015, OP_SHOT_017","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:37.00. Shot OP_SHOT_016: Grandis trio close. Frame description: Close energetic character beat for the adult trio, playful but grounded. Unit: VU_REF003_010_GRANDIS_TRIO_INTRO (Grandis 三人组介绍). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_010_GRANDIS_TRIO_INTRO
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_010_GRANDIS_TRIO_INTRO.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_016 (图2 / Grandis_trio_close)
- 参考时间 / Reference timing: 00:37.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH03 R2 official keyframe generated from full video reference. Visual QA pass: exactly three adult Grandis trio close cluster, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_015,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_016_v2.png,[]
CARD_BW_017,OP_SHOT_017,SCN_REF003_RUNNING,Nadia 奔跑脚步,Nadia run feet,"Nadia running feet/legs beat with sky background, modest costume, no body emphasis.","OP_SHOT_016, OP_SHOT_018","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:38.00. Shot OP_SHOT_017: Nadia run feet. Frame description: Nadia running feet/legs beat with sky background, modest costume, no body emphasis. Unit: VU_REF003_011_RUNNING_MONTAGE (角色奔跑 montage). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_011_RUNNING_MONTAGE
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md
- 本关键帧 / This keyframe: 图1 = OP_SHOT_017 (图1 / Nadia_run_feet)
- 参考时间 / Reference timing: 00:38.00
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH03 official keyframe generated from full video reference. Visual QA pass: Nadia running foot/leg action beat, safe framing, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_016,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_017.png,[]
CARD_BW_018,OP_SHOT_018,SCN_REF003_RUNNING,Nadia 奔跑正面,Nadia run front,"Nadia running front/upper-body beat, determined and age-safe.","OP_SHOT_017, OP_SHOT_019","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:39.50. Shot OP_SHOT_018: Nadia run front. Frame description: Nadia running front/upper-body beat, determined and age-safe. Unit: VU_REF003_011_RUNNING_MONTAGE (角色奔跑 montage). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_011_RUNNING_MONTAGE
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md
- 本关键帧 / This keyframe: 图2 = OP_SHOT_018 (图2 / Nadia_run_front)
- 参考时间 / Reference timing: 00:39.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH03 official keyframe generated from full video reference. Visual QA pass: Nadia running front action beat, age-safe conservative costume, no text/logo; normalized to 1915x821.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane. Heroine design replacement generated with selected C candidate.,OP_SHOT_017,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_018.png,[]
CARD_BW_019,OP_SHOT_019,SCN_REF003_RUNNING,Jean 奔跑,Jean run,"Jean runs with cap/glasses and inventor outfit, matching the run direction.","OP_SHOT_018, OP_SHOT_020","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:41.50. Shot OP_SHOT_019: Jean run. Frame description: Jean runs with cap/glasses and inventor outfit, matching the run direction. Unit: VU_REF003_011_RUNNING_MONTAGE (角色奔跑 montage). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_011_RUNNING_MONTAGE
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md
- 本关键帧 / This keyframe: 图3 = OP_SHOT_019 (图3 / Jean_run)
- 参考时间 / Reference timing: 00:41.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH04 official keyframe generated from full video reference. Visual QA pass: Jean running montage beat, age-appropriate, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane. Heroine design replacement generated with selected C candidate.,OP_SHOT_018,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_019.png,[]
CARD_BW_020,OP_SHOT_020,SCN_REF003_RUNNING,Marie 奔跑,Marie run,"Marie runs with King nearby, playful and child-safe.","OP_SHOT_019, OP_SHOT_021","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:43.50. Shot OP_SHOT_020: Marie run. Frame description: Marie runs with King nearby, playful and child-safe. Unit: VU_REF003_011_RUNNING_MONTAGE (角色奔跑 montage). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_011_RUNNING_MONTAGE
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md
- 本关键帧 / This keyframe: 图4 = OP_SHOT_020 (图4 / Marie_run)
- 参考时间 / Reference timing: 00:43.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH04 official keyframe generated from full video reference. Visual QA pass: Marie and King running, child-safe and friendly, no text/logo.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_019,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_020.png,[]
CARD_BW_021,OP_SHOT_021,SCN_REF003_RUNNING,全员奔跑,group run,Core group runs together across a grassy ridge or open bright landscape.,"OP_SHOT_020, OP_SHOT_022","Reference-003 full OP 1:1 remake mapping. Preserve shot timing, composition function, motion role, and unit order from the full video; replace any original readable text/logo/subtitle with clean no-text live-action composition.","21:9 anamorphic live-action keyframe, faithful high-end live-action remake of a 1990 Japanese adventure-anime OP, pure image only, no readable text/logo/subtitle/watermark. Reference source: reference-003-full-op-2160p at 00:45.50. Shot OP_SHOT_021: group run. Frame description: Core group runs together across a grassy ridge or open bright landscape. Unit: VU_REF003_011_RUNNING_MONTAGE (角色奔跑 montage). Character locks when visible: Nadia uses the selected C-version heroine lock: age-appropriate 14-year-old adventure girl, honey-tan complexion, refined commercial live-action face, short glossy navy-black bob hair, large gold hoop earrings, slim gold bangles, modest red-orange and white adventure outfit with covered torso, sapphire Blue Water pendant; Jean is a 14-year-old French boy inventor with round glasses, brown hair, blue cap/beret, blue jacket, white shirt, red bow tie, short trousers, brown boots; Marie is a child in a modest dress; King is a small lion cub with red scarf; Grandis is an adult red-haired woman in red uniform; Sanson and Hanson are adult companions; Nemo is a stern adult submarine captain; Electra is an adult first officer. All minors must be age-appropriate, non-sexualized, adventure-safe. Negative prompt: No readable text, no title letters, no lyrics, no credits, no NHK mark, no subtitles, no watermark, no random symbols, no direct anime screenshot copying, no adult recast of minors, no sexualized minor, no modern cars, no smartphone, no distorted face or hands.","基于完整 reference-003 OP 的组级视频提示词 / Full-reference unit-aware video prompt
- 视频单位 / Video unit: VU_REF003_011_RUNNING_MONTAGE
- 组级提示词 / Unit prompt: 07_shots/video_prompts_by_unit/VU_REF003_011_RUNNING_MONTAGE.md
- 本关键帧 / This keyframe: 图5 = OP_SHOT_021 (图5 / group_run)
- 参考时间 / Reference timing: 00:45.50
- 使用规则 / Use rule: follow the full OP reference-003 unit order; do not use VU_REF002 prompts; replace all source text/logo/subtitle with clean no-text remake imagery.
","REFERENCE003_QA_BATCH04 R2 official keyframe generated from full video reference. Visual QA pass: full group run, minors age-safe, Nadia torso covered, no text/logo; normalized to 1915x821.",V3 fixes character age/costume and OP structure: Nadia uses selected C-version heroine design; Nadia/Jean are 14; opening is clouds -> white bird -> Jean plane.,OP_SHOT_020,True,generated_reference003_qa_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_021_v2.png,[]
