panel_id,clip,clip_title,story_stage,stage_name,character_stage_lock,wardrobe_state,emotion_state,environment_stage_lock,whitebox_reference_path
MSB013,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：阿磊/小川 / Character focus: 阿磊/小川,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,阿磊不耐烦，小川确认哥哥表情 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB013.png
MSB014,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小川 / Character focus: 小川,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,被光吸引，怕但想看 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png
MSB015,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：小满 / Character focus: 小满,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,被亮光吓到又好奇 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB015.png
MSB016,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：三兄弟 / Character focus: 三兄弟,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,阿磊撑住，小川犹豫，小满躲后 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png
MSB017,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：阿磊/道具 / Character focus: 阿磊/道具,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,手势故作自然 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB017.png
MSB018,clip_02,opening_compound,S0_START_CLEAN,起始干净阶段 / Start clean,角色焦点：三兄弟 / Character focus: 三兄弟,连续性锚点：阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Continuity anchors: 阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落,期待、紧张、害怕同时出现 / Emotion state,阿磊海军蓝外套红白斜条，小川蓝白外套红领巾浅绿书包，小满浅色大衬衫，三人从院内走向角落 / Environment continuity lock,whitebox_renders_v2/B01/WB2_COMPOUND_MSB018.png
MSB019,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：环境/道具 / Character focus: 环境/道具,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,无人物，进入感 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png
MSB020,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：三兄弟 / Character focus: 三兄弟,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,被空间吞进去的惊讶 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png
MSB021,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊 / Character focus: 阿磊,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,装作熟悉，其实眼睛快速扫动 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png
MSB022,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：小川 / Character focus: 小川,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,好奇压过害怕 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png
MSB023,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：小满 / Character focus: 小满,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,迟疑，眨眼快 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png
MSB024,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：环境 / Character focus: 环境,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,压迫、热闹但脏旧 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png
MSB025,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：道具 / Character focus: 道具,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,无表情，物件记忆 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png
MSB026,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：环境 / Character focus: 环境,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,不安的兴奋 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png
MSB027,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：三兄弟 / Character focus: 三兄弟,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,兴奋、跟随、被动 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png
MSB028,clip_03,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：环境/道具 / Character focus: 环境/道具,连续性锚点：低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Continuity anchors: 低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘,无人物表情，目标明确 / Emotion state,低天花旧游戏机房、两侧街机、CRT 红蓝绿光、烟雾、脏塑料门帘 / Environment continuity lock,whitebox_renders_v2/B01/WB2_ARCADE_MSB028.png
MSB029,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：街机 / Character focus: 街机,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,无人物，机器作为冲突种子 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB029.png
MSB030,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊 / Character focus: 阿磊,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,兴奋但故作淡定 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB030.png
MSB031,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：小川 / Character focus: 小川,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,羡慕和紧张混合 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB031.png
MSB032,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：小满 / Character focus: 小满,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,好奇但怕人群 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB032.png
MSB033,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊/道具 / Character focus: 阿磊/道具,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,专注 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB033.png
MSB034,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：彬子 / Character focus: 彬子,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,挑衅假笑 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB034.png
MSB035,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊/彬子 / Character focus: 阿磊/彬子,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,阿磊装稳，彬子轻蔑 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB035.png
MSB036,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：小川 / Character focus: 小川,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,警觉但不懂危险 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB036.png
MSB037,clip_04,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：道具 / Character focus: 道具,连续性锚点：街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Continuity anchors: 街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光,无人物，仪式感 / Emotion state,街头霸王街机、磨损摇杆、哥哥站操作位、主角旁观、小弟弟躲后、CRT 光 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB037.png
MSB038,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊/彬子 / Character focus: 阿磊/彬子,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,双方专注，彬子假笑 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB038.png
MSB039,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊/道具 / Character focus: 阿磊/道具,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,手部紧张兴奋 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB039.png
MSB040,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：彬子 / Character focus: 彬子,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,挑衅，觉得必赢 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB040.png
MSB041,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：小川 / Character focus: 小川,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,期待但谨慎 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB041.png
MSB042,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：街机屏幕 / Character focus: 街机屏幕,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,激烈但仍在游戏内 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB042.png
MSB043,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊 / Character focus: 阿磊,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,快赢的得意 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB043.png
MSB044,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：彬子 / Character focus: 彬子,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,从轻蔑转为不信 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB044.png
MSB045,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：街机屏幕 / Character focus: 街机屏幕,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,无人物，胜负确定 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB045.png
MSB046,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：彬子 / Character focus: 彬子,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,受辱后僵住 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB046.png
MSB047,clip_05,arcade_play,S1_ARCADE_PLAY,游戏厅游玩阶段 / Arcade play,角色焦点：阿磊 / Character focus: 阿磊,连续性锚点：哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Continuity anchors: 哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观,得意但装成熟 / Emotion state,哥哥左侧，彬子右侧，街霸屏幕居中，CRT 胜利红光，主角旁观 / Environment continuity lock,whitebox_renders_v2/B02/WB2_ARCADE_MSB047.png
