order,item_id,timecode,start_sec,end_sec,duration_sec,video_unit_id,video_unit_title,keyframe_role,beat,status,official_generated,current_output_path,output_exists,output_width,output_height,reference_frame,reference_exists,reference_width,reference_height,source_for_status_animatic,source_kind,job_id,job_status,generation_prompt_file
20,OP_SHOT_020,00:43.50,43.5,45.5,2.0,VU_REF003_011_RUNNING_MONTAGE,角色奔跑 montage,图4 / Marie_run,Marie 奔跑,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_020.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/refs/OP_SHOT_020_ref_004350.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_020.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04,qa_done_6_pass,
21,OP_SHOT_021,00:45.50,45.5,47.5,2.0,VU_REF003_011_RUNNING_MONTAGE,角色奔跑 montage,图5 / group_run,全员奔跑,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_021_v2.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/refs/OP_SHOT_021_ref_004550.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_021_v2.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04,qa_done_6_pass,
22,OP_SHOT_022,00:47.50,47.5,48.0,0.5,VU_REF003_011_RUNNING_MONTAGE,角色奔跑 montage,图6 / Jean_reaction_close,Jean 反应近景,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_022.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/refs/OP_SHOT_022_ref_004750.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_022.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04,qa_done_6_pass,
23,OP_SHOT_023,00:48.00,48.0,49.5,1.5,VU_REF003_012_GRANDIS_VEHICLE_ACTION,Grandis 车辆动作到群像,图1 / Grandis_action_close,Grandis 动作桥,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_023.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/refs/OP_SHOT_023_ref_004800.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_023.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04,qa_done_6_pass,
24,OP_SHOT_024,00:49.50,49.5,51.5,2.0,VU_REF003_012_GRANDIS_VEHICLE_ACTION,Grandis 车辆动作到群像,图2 / vehicle_sky_action,车辆/飞行器空中动作,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_IDENTITY_REPAIR_R1_20260630/outputs/OP_SHOT_024_VEHICLE_LOCK_R1.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/refs/OP_SHOT_024_ref_004950.jpg,True,480,360,08_generation/jobs/REFERENCE003_IDENTITY_REPAIR_R1_20260630/outputs/OP_SHOT_024_VEHICLE_LOCK_R1.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04,qa_done_6_pass,
25,OP_SHOT_025,00:51.50,51.5,52.5,1.0,VU_REF003_012_GRANDIS_VEHICLE_ACTION,Grandis 车辆动作到群像,图3 / group_lineup,全员群像,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_IDENTITY_REPAIR_R1_20260630/outputs/OP_SHOT_025_R1.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/refs/OP_SHOT_025_ref_005150.jpg,True,480,360,08_generation/jobs/REFERENCE003_IDENTITY_REPAIR_R1_20260630/outputs/OP_SHOT_025_R1.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/prompts/OP_SHOT_025_generation_prompt.md
26,OP_SHOT_026,00:52.50,52.5,55.0,2.5,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,Nautilus 海底光束段,图1 / undersea_start,Nautilus 水下初现,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_026.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/refs/OP_SHOT_026_ref_005250.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_026.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/prompts/OP_SHOT_026_generation_prompt.md
27,OP_SHOT_027,00:55.00,55.0,58.5,3.5,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,Nautilus 海底光束段,图2 / undersea_pass,Nautilus 水下通过,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_027.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/refs/OP_SHOT_027_ref_005500.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_027.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/prompts/OP_SHOT_027_generation_prompt.md
28,OP_SHOT_028,00:58.50,58.5,61.5,3.0,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,Nautilus 海底光束段,图3 / undersea_shadow,Nautilus 深蓝剪影,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_028.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/refs/OP_SHOT_028_ref_005850.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_028.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/prompts/OP_SHOT_028_generation_prompt.md
29,OP_SHOT_029,01:01.50,61.5,63.5,2.0,VU_REF003_014_NIGHT_CITY_BLUE_GRID,夜城与蓝色地面图案,图1 / night_city_reveal,夜城初现,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_029.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/refs/OP_SHOT_029_ref_010150.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_029.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/prompts/OP_SHOT_029_generation_prompt.md
30,OP_SHOT_030,01:03.50,63.5,65.5,2.0,VU_REF003_014_NIGHT_CITY_BLUE_GRID,夜城与蓝色地面图案,图2 / glowing_blue_grid,蓝色地面图案,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_030.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/refs/OP_SHOT_030_ref_010350.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/outputs/OP_SHOT_030.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH05_READY/prompts/OP_SHOT_030_generation_prompt.md
31,OP_SHOT_031,01:05.50,65.5,66.5,1.0,VU_REF003_015_NIGHT_AIRCRAFT_PASS,夜航飞行器短切,图1 / night_aircraft_pass,夜航飞行器,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/outputs/OP_SHOT_031.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/refs/OP_SHOT_031_ref_010550.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/outputs/OP_SHOT_031.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/prompts/OP_SHOT_031_generation_prompt.md
32,OP_SHOT_032,01:06.50,66.5,69.5,3.0,VU_REF003_016_NEMO_SUNSET_PROFILE,Nemo 夕景船长肖像,图1 / Nemo_profile_start,Nemo 夕景初入,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/outputs/OP_SHOT_032.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/refs/OP_SHOT_032_ref_010650.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/outputs/OP_SHOT_032.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/prompts/OP_SHOT_032_generation_prompt.md
33,OP_SHOT_033,01:09.50,69.5,72.0,2.5,VU_REF003_016_NEMO_SUNSET_PROFILE,Nemo 夕景船长肖像,图2 / Nemo_profile_hold,Nemo 夕景 hold,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/outputs/OP_SHOT_033.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/refs/OP_SHOT_033_ref_010950.jpg,True,480,360,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/outputs/OP_SHOT_033.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/prompts/OP_SHOT_033_generation_prompt.md
34,OP_SHOT_034,01:12.00,72.0,73.5,1.5,VU_REF003_017_NADIA_SOLEMN_CLOSE,Nadia 庄重正面近景,图1 / Nadia_solemn_front,Nadia 庄重正面,generated_reference003_qa_pass,True,08_generation/jobs/REFERENCE003_IDENTITY_REPAIR_R1_20260630/outputs/OP_SHOT_034_R1.png,True,1915,821,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/refs/OP_SHOT_034_ref_011200.jpg,True,480,360,08_generation/jobs/REFERENCE003_IDENTITY_REPAIR_R1_20260630/outputs/OP_SHOT_034_R1.png,official_generated_keyframe,REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY,qa_done_6_pass,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH06_READY/prompts/OP_SHOT_034_generation_prompt.md
