panel_id,batch,clip,source_camera,selected_constraint_camera,constraint_whitebox_path,mother_style_reference,layout_focus,pose_or_path,mapping_note
MSB037,B02,04,CAM_ARCADE_02_STREET_FIGHTER_CABINET,CAM_ARCADE_DETAIL_CONTROL_PANEL,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,硬币投入街机槽，金属声和 CRT 光形成对战开始点,手离开硬币槽,detail insert uses dedicated control-panel constraint
MSB038,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊左前景肩背、彬子右侧，街霸屏幕夹在中间,镜头固定在屏幕和肩背之间,uses source camera constraint
MSB039,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_DETAIL_CONTROL_PANEL,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊手指在彩色按钮上快速动作，袖口磨毛明显,只拍手和按钮,detail insert uses dedicated control-panel constraint
MSB040,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子侧脸被 CRT 光照亮，嘴角歪，眼睛从下往上瞪,下巴前顶,uses source camera constraint
MSB041,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小川不看屏幕，先看阿磊脸色，试图判断能不能高兴,攥书包带更紧,uses source camera constraint
MSB042,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,街霸屏幕出现强烈攻击闪光，不需要真实游戏版权细节,CRT 闪烁,uses source camera constraint
MSB043,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊嘴角轻微上扬但不敢太明显，肩膀一抖,手继续操作,uses source camera constraint
MSB044,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子笑意消失，眨眼变少，鼻翼绷紧,身体僵住,uses source camera constraint
MSB045,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,CRT 胜利画面红光爆亮，屏幕边缘反射在机身上,画面闪红,uses source camera constraint
MSB046,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,胜利红光照到彬子脸，黄发梢和嘴角小痣清楚,完全停住一拍,uses source camera constraint
MSB047,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊想笑又忍住，手从按钮上离开，下巴更高,肩膀轻抖,uses source camera constraint
MSB048,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小川看到哥哥赢，嘴角刚要笑，眼睛还看彬子反应,身体没有靠前,uses source camera constraint
MSB049,B02,05,CAM_ARCADE_03_DUEL_OVER_SHOULDER,CAM_ARCADE_03_DUEL_OVER_SHOULDER,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_03_DUEL_OVER_SHOULDER_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子越过街机盯住阿磊，背景三同伙模糊出现,彬子不动，只看,uses source camera constraint
MSB050,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子脸在红光里僵住，嘴角歪笑消失，下颌咬紧,只允许眼神变化,uses source camera constraint
MSB051,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,高杆从背景一侧靠近，灰白夹克和长手臂先形成剪影,慢慢站到边缘,uses source camera constraint
MSB052,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,大海宽身体进入背景，褪色 T 恤和宽站姿把空间堵住,脚站宽，抹汗,uses source camera constraint
MSB053,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,小齐本来想笑，看到彬子脸色后笑收住，手抠袖口,身体前探又缩回,uses source camera constraint
MSB054,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子矮在前，高杆高瘦、大海宽、小齐飘在边缘，轮廓差异清楚,slow push-in,uses source camera constraint
MSB055,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,阿磊带着弟弟准备离开，还在压住笑意,向门口方向转身,uses source camera constraint
MSB056,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,彬子盯着阿磊背影，手把腰包往上一拽,手部动作短促,uses source camera constraint
MSB057,B02,06,CAM_ARCADE_04_BOSS_LOSES_REACTION,CAM_ARCADE_04_BOSS_LOSES_REACTION,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_04_BOSS_LOSES_REACTION_constraint_whitebox_v001.png,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,游戏厅仍热闹，但四人组所在区域像被声音抽空,背景人模糊不抢主体,uses source camera constraint
